标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SZ159915,创业板ETF易方达,2014-01-16,1.3710,2014-02-20,1.4830,8.35%,1.0835
SH511010,国债ETF,2014-02-20,94.3960,2014-03-20,94.5340,0.13%,1.0848
SH511880,银华日利ETF,2014-03-20,71.0840,2014-04-18,71.4400,0.47%,1.0899
SH513500,标普500ETF博时,2014-04-18,0.5170,2014-05-20,0.5240,1.16%,1.1026
SZ159920,恒生ETF,2014-05-20,0.9690,2014-06-18,0.9980,3.43%,1.1404
SH510170,大宗商品ETF,2014-06-18,0.3200,2014-07-16,0.3310,3.45%,1.1797
SH510880,红利ETF华泰柏瑞,2014-07-16,0.3160,2014-08-13,0.4640,47.32%,1.7379
SH510880,红利ETF华泰柏瑞,2014-08-13,0.4640,2014-09-11,0.5130,9.42%,1.9017
SH510500,中证500ETF,2014-09-11,3.8740,2014-10-16,4.0550,6.19%,2.0193
SH511010,国债ETF,2014-10-16,99.4270,2014-11-13,100.8340,1.95%,2.0586
SH510880,红利ETF华泰柏瑞,2014-11-13,0.6810,2014-12-11,1.0630,55.69%,3.205
SH518880,黄金ETF,2014-12-11,2.4410,2015-01-12,2.4580,-0.97%,3.1737
SH513500,标普500ETF博时,2015-01-12,0.5670,2015-02-09,0.5680,-0.70%,3.1515
SH511010,国债ETF,2015-02-09,103.4910,2015-03-16,103.1110,-0.23%,3.1444
SH510880,红利ETF华泰柏瑞,2015-03-16,1.3830,2015-04-14,2.0730,54.31%,4.8522
SZ159929,医药ETF,2015-04-14,1.6850,2015-05-13,1.7330,3.42%,5.0182
SZ159939,信息技术ETF,2015-05-13,0.9160,2015-06-10,1.1270,17.74%,5.9084
SH510880,红利ETF华泰柏瑞,2015-06-10,2.7820,2015-07-09,1.6400,-50.79%,2.9077
SH511010,国债ETF,2015-07-09,104.5490,2015-08-06,105.5180,0.58%,2.9245
SZ159930,能源ETF,2015-08-06,1.1420,2015-09-07,0.9170,-19.06%,2.367
SH511010,国债ETF,2015-09-07,105.9150,2015-10-12,106.3360,-0.24%,2.3614
SH510880,红利ETF华泰柏瑞,2015-10-12,1.3880,2015-11-09,1.6720,23.60%,2.9187
SH512070,证券保险ETF易方达,2015-11-09,0.6590,2015-12-07,0.6080,-7.08%,2.7121
SZ159929,医药ETF,2015-12-07,1.5660,2016-01-05,1.4640,-2.67%,2.6397
SH511010,国债ETF,2016-01-05,107.3360,2016-02-02,107.6850,0.28%,2.6471
SZ159943,深证成指ETF大成,2016-02-02,0.8480,2016-03-08,0.8530,2.65%,2.7173
SH510230,金融ETF,2016-03-08,0.6720,2016-04-06,0.6970,6.00%,2.8803
SH510170,大宗商品ETF,2016-04-06,0.4220,2016-05-05,0.4080,-0.00%,2.8803
SZ159930,能源ETF,2016-05-05,0.8920,2016-06-02,0.7500,-8.54%,2.6344
SH510880,红利ETF华泰柏瑞,2016-06-02,1.1480,2016-07-04,1.1880,0.09%,2.6367
SH510410,资源ETF博时,2016-07-04,0.6730,2016-08-01,0.6730,3.04%,2.717
SH518880,黄金ETF,2016-08-01,2.8770,2016-08-29,2.8300,-0.63%,2.6999
SH511880,银华日利ETF,2016-08-29,79.2930,2016-09-28,79.4820,0.23%,2.706
SH511010,国债ETF,2016-09-28,110.8850,2016-11-02,111.3070,0.52%,2.7202
SH518880,黄金ETF,2016-11-02,2.8240,2016-11-30,2.6520,-4.75%,2.5909
SH510050,上证50ETF,2016-11-30,1.9660,2016-12-28,1.8250,-7.88%,2.3868
SH518880,黄金ETF,2016-12-28,2.6030,2017-01-26,2.6410,2.16%,2.4383
SH510170,大宗商品ETF,2017-01-26,0.4480,2017-03-02,0.4540,2.02%,2.4877
SH513500,标普500ETF博时,2017-03-02,0.8120,2017-03-30,0.7740,0.78%,2.507
SH511010,国债ETF,2017-03-30,108.5220,2017-05-02,107.9460,-0.87%,2.4853
SZ159915,创业板ETF易方达,2017-05-02,1.7730,2017-06-01,1.6610,-4.78%,2.3664
SH510230,金融ETF,2017-06-01,0.8310,2017-06-29,0.8690,4.12%,2.464
SZ159928,消费ETF,2017-06-29,0.4500,2017-07-27,0.4380,-2.23%,2.4091
SH513050,中概互联网ETF易方达,2017-07-27,1.4100,2017-08-24,1.4300,4.38%,2.5145
SH513050,中概互联网ETF易方达,2017-08-24,1.4300,2017-09-21,1.4800,4.75%,2.634
SZ159920,恒生ETF,2017-09-21,1.4250,2017-10-26,1.4410,1.90%,2.6841
SZ159929,医药ETF,2017-10-26,1.6270,2017-11-23,1.5830,1.37%,2.721
SH513050,中概互联网ETF易方达,2017-11-23,1.5700,2017-12-21,1.5130,-4.06%,2.6105
SH510050,上证50ETF,2017-12-21,2.4940,2018-01-19,2.7140,9.29%,2.8529
SH512880,证券ETF,2018-01-19,1.0610,2018-02-23,0.9000,-13.55%,2.4662
SH513050,中概互联网ETF易方达,2018-02-23,1.5570,2018-03-23,1.4850,1.10%,2.4933
SH518880,黄金ETF,2018-03-23,2.7410,2018-04-24,2.7000,-0.18%,2.4887
SZ159920,恒生ETF,2018-04-24,1.4880,2018-05-24,1.5080,2.79%,2.5581
SZ159929,医药ETF,2018-05-24,1.8450,2018-06-22,1.7170,-6.96%,2.3801
SH511260,十年国债ETF,2018-06-22,99.5950,2018-07-20,100.9070,1.41%,2.4136
SH513500,标普500ETF博时,2018-07-20,0.8810,2018-08-17,0.9110,2.27%,2.4685
SZ159941,纳指ETF,2018-08-17,0.4240,2018-09-14,0.4280,0.95%,2.492
SH512400,有色金属ETF,2018-09-14,0.6170,2018-10-22,0.5680,-12.42%,2.1825
