标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH511880,银华日利ETF,2024-09-06,98.4990,2024-10-08,98.5930,0.10%,1.6933
SH511880,银华日利ETF,2024-10-08,98.5930,2024-10-29,98.6720,0.09%,1.6947
SZ159851,金融科技ETF,2024-10-29,0.6860,2024-11-19,0.7490,3.77%,1.7586
SH510810,上海国企ETF汇添富,2024-11-19,0.8540,2024-12-10,0.8660,-0.00%,1.7586
SH513730,东南亚科技ETF,2024-12-10,1.4150,2024-12-31,1.3500,-3.13%,1.7036
SZ159941,纳指ETF,2024-12-31,1.2310,2025-01-22,1.2700,2.02%,1.738
SH513310,中韩半导体ETF,2025-01-22,1.5640,2025-02-20,1.6150,6.42%,1.8496
SZ159869,游戏ETF,2025-02-20,1.2590,2025-03-13,1.2140,-3.44%,1.786
SH520500,恒生创新药ETF,2025-03-13,1.1680,2025-04-03,1.3290,14.76%,2.0496
SH518880,黄金ETF,2025-04-03,7.0940,2025-04-25,7.5300,7.87%,2.2109
SH518880,黄金ETF,2025-04-25,7.5300,2025-05-21,7.4390,-4.92%,2.1021
SH513730,东南亚科技ETF,2025-05-21,1.2150,2025-06-12,1.1930,-2.20%,2.0558
SZ159992,创新药ETF,2025-06-12,0.8370,2025-07-03,0.8130,-2.21%,2.0103
SZ159851,金融科技ETF,2025-07-03,0.8050,2025-07-24,0.8590,5.38%,2.1185
SH515880,通信ETF,2025-07-24,0.5430,2025-08-14,0.6430,22.22%,2.5893
SH515880,通信ETF,2025-08-14,0.6430,2025-09-04,0.7860,31.36%,3.4014
SH515880,通信ETF,2025-09-04,0.7860,2025-09-25,0.9260,4.38%,3.5504
SZ159755,电池ETF,2025-09-25,1.0410,2025-10-24,1.0470,0.19%,3.5573
SH513310,中韩半导体ETF,2025-10-24,2.4900,2025-11-14,2.5540,12.03%,3.9852
SH513290,纳指生物科技ETF汇添富,2025-11-14,1.4750,2025-12-05,1.6150,9.51%,4.3643
SH513290,纳指生物科技ETF汇添富,2025-12-05,1.6150,2025-12-26,1.5740,-3.61%,4.2068
SZ159206,卫星ETF,2025-12-26,1.5840,2026-01-20,1.8950,28.00%,5.3846
SZ159206,卫星ETF,2026-01-20,1.8950,2026-02-10,1.8480,-4.61%,5.1365
SH513310,中韩半导体ETF,2026-02-10,3.4890,2026-03-11,4.0370,16.87%,6.003
SZ159930,能源ETF,2026-03-11,1.8080,2026-03-13,1.8440,3.13%,6.191
