标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH512000,券商ETF,2024-08-16,0.3900,2024-10-08,0.6010,39.54%,9.4075
SZ159851,金融科技ETF,2024-10-08,0.6050,2024-11-19,0.7490,30.18%,12.2468
SZ159851,金融科技ETF,2024-11-19,0.7490,2024-12-31,0.7170,6.01%,12.9823
SZ159546,集成电路ETF,2024-12-31,1.2820,2025-02-20,1.3860,4.24%,13.5333
SZ159869,游戏ETF,2025-02-20,1.2590,2025-04-03,1.1260,-11.96%,11.9144
SH517520,黄金股ETF,2025-04-03,1.2900,2025-05-21,1.4230,5.18%,12.5318
SH513730,东南亚科技ETF,2025-05-21,1.2150,2025-07-03,1.2030,-3.18%,12.1328
SZ159851,金融科技ETF,2025-07-03,0.8050,2025-08-14,0.8800,9.51%,13.2869
SH515880,通信ETF,2025-08-14,0.6430,2025-09-25,0.9260,37.12%,18.2191
SZ159755,电池ETF,2025-09-25,1.0410,2025-11-14,1.1210,12.45%,20.4876
SH513310,中韩半导体ETF,2025-11-14,2.5540,2025-12-26,2.5320,-6.02%,19.2536
SZ159206,卫星ETF,2025-12-26,1.5840,2026-02-10,1.8480,22.10%,23.5086
SH517520,黄金股ETF,2026-02-10,2.5230,2026-03-13,2.5050,-2.00%,23.0396
