标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH518880,黄金ETF,2014-02-27,2.6020,2014-03-20,2.6470,1.09%,1.0109
SH518880,黄金ETF,2014-03-20,2.6470,2014-04-11,2.6200,-2.31%,0.9876
SH511880,银华日利ETF,2014-04-11,71.3870,2014-05-06,71.6300,0.39%,0.9914
SH511880,银华日利ETF,2014-05-06,71.6300,2014-05-27,71.8590,0.31%,0.9945
SH511880,银华日利ETF,2014-05-27,71.8590,2014-06-18,71.8760,0.19%,0.9963
SH510900,恒生中国企业ETF易方达,2014-06-18,0.9300,2014-07-09,0.9310,2.26%,1.0189
SH513500,标普500ETF博时,2014-07-09,0.5480,2014-07-30,0.5480,-0.18%,1.017
SH510880,红利ETF华泰柏瑞,2014-07-30,0.4180,2014-08-20,0.4680,11.01%,1.129
SH510880,红利ETF华泰柏瑞,2014-08-20,0.4680,2014-09-11,0.5130,7.81%,1.2171
SZ159915,创业板ETF易方达,2014-09-11,1.4710,2014-10-09,1.5190,3.27%,1.2569
SH510500,中证500ETF,2014-10-09,4.1390,2014-10-30,4.1230,-0.07%,1.256
SH511010,国债ETF,2014-10-30,99.7350,2014-11-20,100.4910,0.68%,1.2645
SH513500,标普500ETF博时,2014-11-20,0.5640,2014-12-11,0.5580,0.18%,1.2667
SH510230,金融ETF,2014-12-11,0.6950,2015-01-05,0.9330,26.97%,1.6084
SH510230,金融ETF,2015-01-05,0.9330,2015-01-26,0.8600,-5.45%,1.5208
SZ159920,恒生ETF,2015-01-26,1.0920,2015-02-16,1.0790,-1.47%,1.4985
SH511010,国债ETF,2015-02-16,103.5730,2015-03-16,103.1110,-0.72%,1.4877
SZ159915,创业板ETF易方达,2015-03-16,2.0610,2015-04-07,2.4380,20.03%,1.7857
SH510880,红利ETF华泰柏瑞,2015-04-07,1.9080,2015-04-28,2.2020,25.92%,2.2485
SH510880,红利ETF华泰柏瑞,2015-04-28,2.2020,2015-05-20,2.1580,-5.69%,2.1207
SZ159915,创业板ETF易方达,2015-05-20,3.2640,2015-06-10,3.6600,10.71%,2.3477
SH510500,中证500ETF,2015-06-10,9.6170,2015-07-02,6.7450,-25.32%,1.7533
SH511880,银华日利ETF,2015-07-02,76.2550,2015-07-23,76.4760,0.29%,1.7583
SH511880,银华日利ETF,2015-07-23,76.4760,2015-08-13,76.6090,0.17%,1.7614
SH511880,银华日利ETF,2015-08-13,76.6090,2015-09-07,76.8000,0.26%,1.766
SH511880,银华日利ETF,2015-09-07,76.8000,2015-09-28,76.9140,0.12%,1.7682
SH511880,银华日利ETF,2015-09-28,76.9140,2015-10-26,77.0970,0.24%,1.7724
SH518880,黄金ETF,2015-10-26,2.3870,2015-11-16,2.2600,-7.20%,1.6448
SH512070,证券保险ETF易方达,2015-11-16,0.6550,2015-12-07,0.6080,-6.09%,1.5447
SH511880,银华日利ETF,2015-12-07,77.4360,2015-12-28,77.5750,0.18%,1.5475
SH511010,国债ETF,2015-12-28,107.9610,2016-01-19,107.7760,0.53%,1.5557
SH511880,银华日利ETF,2016-01-19,77.7340,2016-02-16,77.9430,0.27%,1.5599
SH511880,银华日利ETF,2016-02-16,77.9430,2016-03-08,78.1130,0.19%,1.5628
SH518880,黄金ETF,2016-03-08,2.6620,2016-03-29,2.5470,-4.08%,1.4991
SZ159920,恒生ETF,2016-03-29,0.9500,2016-04-20,0.9880,4.95%,1.5733
SH511880,银华日利ETF,2016-04-20,78.3900,2016-05-12,78.5400,0.19%,1.5763
SH511880,银华日利ETF,2016-05-12,78.5400,2016-06-02,78.6630,0.15%,1.5786
SH511880,银华日利ETF,2016-06-02,78.6630,2016-06-27,78.7950,0.21%,1.5819
SH511880,银华日利ETF,2016-06-27,78.7950,2016-07-18,79.0020,0.22%,1.5853
SH510410,资源ETF博时,2016-07-18,0.7080,2016-08-08,0.6740,-4.66%,1.5114
SH510880,红利ETF华泰柏瑞,2016-08-08,1.3090,2016-08-29,1.3840,6.40%,1.6082
SH511880,银华日利ETF,2016-08-29,79.2930,2016-09-21,79.4400,0.20%,1.6113
SZ159920,恒生ETF,2016-09-21,1.1900,2016-10-19,1.1790,0.08%,1.6127
SH511010,国债ETF,2016-10-19,111.3700,2016-11-09,111.4110,0.05%,1.6135
SH512880,证券ETF,2016-11-09,1.0780,2016-11-30,1.1300,4.40%,1.6845
SH510880,红利ETF华泰柏瑞,2016-11-30,1.5730,2016-12-21,1.4590,-11.00%,1.4992
SH513500,标普500ETF博时,2016-12-21,0.9910,2017-01-12,0.7270,-23.50%,1.1469
SH511880,银华日利ETF,2017-01-12,80.2130,2017-02-09,80.4420,0.29%,1.1502
SZ159920,恒生ETF,2017-02-09,1.2100,2017-03-02,1.2300,1.49%,1.1673
SH510880,红利ETF华泰柏瑞,2017-03-02,1.5830,2017-03-23,1.5850,-1.00%,1.1556
SZ159939,信息技术ETF,2017-03-23,0.5610,2017-04-17,0.5420,-2.50%,1.1268
SH518880,黄金ETF,2017-04-17,2.8520,2017-05-09,2.7410,-4.23%,1.0791
SH513050,中概互联网ETF易方达,2017-05-09,1.2270,2017-06-01,1.2540,4.71%,1.1299
SH513050,中概互联网ETF易方达,2017-06-01,1.2540,2017-06-22,1.2810,1.12%,1.1426
SH510880,红利ETF华泰柏瑞,2017-06-22,1.7190,2017-07-13,1.8310,5.61%,1.2067
SH510410,资源ETF博时,2017-07-13,0.7290,2017-08-03,0.8250,14.10%,1.3769
SH510170,大宗商品ETF,2017-08-03,0.5180,2017-08-24,0.5330,3.53%,1.4255
SZ159949,创业板50ETF,2017-08-24,0.7190,2017-09-14,0.7580,5.52%,1.5041
SZ159939,信息技术ETF,2017-09-14,0.5730,2017-10-12,0.5880,1.91%,1.5328
SZ159928,消费ETF,2017-10-12,0.5360,2017-11-02,0.5460,3.00%,1.5787
SZ159928,消费ETF,2017-11-02,0.5460,2017-11-23,0.5600,4.55%,1.6505
SH512070,证券保险ETF易方达,2017-11-23,0.7330,2017-12-14,0.6990,-6.58%,1.5419
SH511880,银华日利ETF,2017-12-14,83.5650,2018-01-05,83.9560,0.45%,1.5488
SZ159928,消费ETF,2018-01-05,0.6050,2018-01-26,0.6320,4.13%,1.6128
SH512200,房地产ETF,2018-01-26,3.1500,2018-02-23,2.7870,-11.66%,1.4248
SH511880,银华日利ETF,2018-02-23,84.4020,2018-03-16,84.6150,0.27%,1.4286
SH511010,国债ETF,2018-03-16,108.7110,2018-04-10,109.4020,0.66%,1.438
SH511880,银华日利ETF,2018-04-10,84.9540,2018-05-03,85.1580,0.26%,1.4418
