标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SZ159851,金融科技ETF,2024-09-24,0.4190,2024-10-29,0.6860,76.92%,16.0749
SH563300,中证2000ETF,2024-10-29,0.9980,2024-11-26,1.0310,1.95%,16.3889
SH513400,道琼斯ETF,2024-11-26,1.2090,2024-12-24,1.1850,1.53%,16.6393
SZ159546,集成电路ETF,2024-12-24,1.3270,2025-01-22,1.3100,0.31%,16.6903
SZ159561,德国ETF嘉实,2025-01-22,1.5530,2025-02-27,1.2440,-14.45%,14.279
SH515210,钢铁ETF,2025-02-27,1.2150,2025-03-27,1.2130,1.40%,14.4784
SZ159865,养殖ETF,2025-03-27,0.5790,2025-04-25,0.5880,2.07%,14.7785
SH520500,恒生创新药ETF,2025-04-25,1.3360,2025-05-28,1.3450,0.82%,14.8996
SZ159509,纳指科技ETF景顺,2025-05-28,1.5390,2025-06-26,1.5940,3.29%,15.3891
SZ159851,金融科技ETF,2025-06-26,0.8350,2025-07-24,0.8590,0.60%,15.481
SH515220,煤炭ETF,2025-07-24,1.0900,2025-08-21,1.0550,-2.43%,15.1055
SH515880,通信ETF,2025-08-21,0.6990,2025-09-18,0.8850,22.77%,18.5454
SH562700,汽车零部件ETF,2025-09-18,1.5150,2025-10-24,1.4460,-6.16%,17.4032
SZ159507,电信ETF,2025-10-24,1.8330,2025-11-21,1.6570,-1.09%,17.2144
SZ159972,5年地债ETF,2025-11-21,117.1520,2025-12-19,117.0170,-0.19%,17.1821
SZ159766,旅游ETF,2025-12-19,0.7950,2026-01-20,0.8350,6.87%,18.3617
SZ159326,电网设备ETF,2026-01-20,1.8000,2026-02-25,1.9220,4.95%,19.2697
SH513310,中韩半导体ETF,2026-02-25,3.9410,2026-03-13,4.0300,4.65%,20.1653
