标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SZ159915,创业板ETF易方达,2014-01-16,1.3710,2014-03-06,1.4260,2.66%,1.0266
SZ159915,创业板ETF易方达,2014-03-06,1.4260,2014-04-18,1.3440,-6.31%,0.9619
SH513500,标普500ETF博时,2014-04-18,0.5170,2014-06-04,0.5370,3.68%,0.9972
SH510900,恒生中国企业ETF易方达,2014-06-04,0.9040,2014-07-16,0.9450,4.41%,1.0412
SH510880,红利ETF华泰柏瑞,2014-07-16,0.3160,2014-08-27,0.4350,36.91%,1.4255
SH510900,恒生中国企业ETF易方达,2014-08-27,1.0010,2014-10-16,0.9200,-7.00%,1.3257
SZ159929,医药ETF,2014-10-16,1.1600,2014-11-27,1.1460,-4.37%,1.2678
SH510230,金融ETF,2014-11-27,0.5270,2015-01-12,0.8710,75.35%,2.223
SZ159915,创业板ETF易方达,2015-01-12,1.5400,2015-03-02,1.9140,23.95%,2.7555
SH510880,红利ETF华泰柏瑞,2015-03-02,1.2540,2015-04-14,2.0730,67.24%,4.6081
SZ159929,医药ETF,2015-04-14,1.6850,2015-05-27,2.0100,20.05%,5.532
SZ159939,信息技术ETF,2015-05-27,1.5450,2015-07-09,0.5640,-63.49%,2.0199
SH511010,国债ETF,2015-07-09,104.5490,2015-08-20,104.5820,-0.11%,2.0175
SH518880,黄金ETF,2015-08-20,2.3460,2015-10-12,2.3750,1.73%,2.0525
SH510880,红利ETF华泰柏瑞,2015-10-12,1.3880,2015-11-23,1.6200,24.52%,2.5558
SZ159915,创业板ETF易方达,2015-11-23,2.6190,2016-01-05,2.2750,-12.82%,2.2282
SH518880,黄金ETF,2016-01-05,2.2700,2016-02-23,2.5570,13.51%,2.5291
SH512070,证券保险ETF易方达,2016-02-23,0.4970,2016-04-06,0.5450,7.87%,2.7283
SH510170,大宗商品ETF,2016-04-06,0.4220,2016-05-19,0.3780,-10.41%,2.4442
SH512070,证券保险ETF易方达,2016-05-19,0.5040,2016-07-04,0.5480,6.35%,2.5994
SH510410,资源ETF博时,2016-07-04,0.6730,2016-08-15,0.6920,3.50%,2.6904
SH510230,金融ETF,2016-08-15,0.7870,2016-09-28,0.7380,-1.33%,2.6546
SZ159941,纳指ETF,2016-09-28,0.2690,2016-11-16,0.2750,-0.00%,2.6546
SZ159930,能源ETF,2016-11-16,0.8490,2016-12-28,0.8010,-2.96%,2.5762
SZ159941,纳指ETF,2016-12-28,0.3180,2017-02-16,0.3170,-1.56%,2.5361
SH510810,上海国企ETF汇添富,2017-02-16,0.9160,2017-03-30,0.8760,-2.85%,2.4638
SH513500,标普500ETF博时,2017-03-30,0.7740,2017-05-16,0.7760,-0.64%,2.4479
