标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH520830,沙特ETF,2024-08-23,1.0120,2024-10-15,0.9960,-1.97%,19.7223
SH513500,标普500ETF博时,2024-10-15,2.0470,2024-11-26,2.1810,9.51%,21.5973
SH513400,道琼斯ETF,2024-11-26,1.2090,2025-01-08,1.1710,-0.51%,21.4873
SH513310,中韩半导体ETF,2025-01-08,1.5050,2025-02-27,1.6360,11.46%,23.9504
SH515210,钢铁ETF,2025-02-27,1.2150,2025-04-11,1.1170,-8.22%,21.9825
SH517520,黄金股ETF,2025-04-11,1.3370,2025-05-28,1.4030,8.69%,23.8925
SZ159509,纳指科技ETF景顺,2025-05-28,1.5390,2025-07-10,1.6830,9.40%,26.1373
SH515790,光伏ETF,2025-07-10,0.7290,2025-08-21,0.7880,10.35%,28.8424
SH515880,通信ETF,2025-08-21,0.6990,2025-10-10,0.8810,27.30%,36.716
SH560860,工业有色ETF万家,2025-10-10,1.4200,2025-11-21,1.3270,-3.94%,35.2707
SZ159972,5年地债ETF,2025-11-21,117.1520,2026-01-06,117.1140,-0.14%,35.2216
SH513310,中韩半导体ETF,2026-01-06,2.9530,2026-02-25,3.9410,37.78%,48.529
SH513310,中韩半导体ETF,2026-02-25,3.9410,2026-03-13,4.0300,4.65%,50.7847
