Date,Open,High,Low,Close,Volume
2020-09-25,100.22,100.265,100.001,100.223,1696
2020-09-28,100.177,100.2,100.052,100.196,1079
2020-09-29,100.2,100.236,100.1,100.195,1343
2020-09-30,100.159,100.26,100.159,100.26,561
2020-10-09,100.214,100.3,98.254,100.26,148
2020-10-12,100.3,100.35,100.25,100.298,1269
2020-10-13,100.299,100.357,100.296,100.342,2275
2020-10-14,100.296,100.404,100.284,100.35,97
2020-10-15,100.35,100.42,100.3,100.419,59
2020-10-16,100.38,100.43,100.38,100.43,142
2020-10-19,100.385,100.408,100.385,100.407,105
2020-10-20,100.407,100.47,100.407,100.469,437
2020-10-21,100.423,100.467,100.423,100.464,1982
2020-10-22,100.467,100.47,100.457,100.47,1987
2020-10-23,100.43,100.475,100.43,100.473,1933
2020-10-26,100.481,100.482,100.47,100.482,2063
2020-10-27,100.46,100.482,100.46,100.48,429
2020-10-28,100.479,100.481,100.479,100.481,2923
2020-10-29,100.435,100.497,100.429,100.497,2627
2020-10-30,100.5,100.505,100.49,100.505,2014
2020-11-02,100.512,100.512,100.46,100.512,2243
2020-11-03,100.466,100.535,100.466,100.51,2169
2020-11-04,100.47,100.54,100.47,100.54,1065
2020-11-05,100.479,100.54,100.479,100.539,1823
2020-11-06,100.545,100.55,100.5,100.5,2624
2020-11-09,100.555,100.556,100.486,100.5,1674
2020-11-10,100.51,100.58,100.51,100.511,1598
2020-11-11,100.573,100.589,100.573,100.589,6373
2020-11-12,100.519,100.587,100.519,100.587,6612
2020-11-13,100.531,100.581,100.531,100.581,60
2020-11-16,100.552,100.589,100.503,100.503,404
2020-11-17,100.567,100.588,100.52,100.588,103
2020-11-18,100.588,100.588,100.52,100.587,804
2020-11-19,100.585,100.585,100.585,100.585,6459
2020-11-20,100.58,100.616,100.528,100.528,497
2020-11-23,100.484,100.567,100.484,100.497,10850
2020-11-24,100.519,100.561,100.519,100.519,856
2020-11-25,100.527,100.595,100.463,100.527,217
2020-11-26,100.536,100.586,100.536,100.586,990
2020-11-27,100.542,100.543,100.542,100.543,608
2020-11-30,100.626,100.628,100.589,100.623,2261
2020-12-01,100.602,100.65,100.482,100.65,303
2020-12-02,100.65,100.68,100.632,100.68,1698
2020-12-03,99.885,100.811,99.885,100.646,898
2020-12-04,100.66,100.68,100.66,100.68,6041
2020-12-07,99.885,100.735,99.885,100.735,122
2020-12-08,100.719,100.719,100.719,100.719,993
2020-12-09,100.723,100.75,100.723,100.75,305
2020-12-10,100.75,100.75,100.75,100.75,988
2020-12-11,100.768,100.768,100.768,100.768,1444
2020-12-14,100.802,100.804,100.802,100.804,365
2020-12-15,100.552,100.85,100.328,100.828,1893
2020-12-16,100.552,100.859,100.552,100.821,667
2020-12-17,100.839,100.871,100.8,100.8,1376
2020-12-18,100.85,100.85,100.84,100.84,1521
2020-12-21,101.052,101.052,100.93,100.94,1070
2020-12-22,100.512,101.31,100.512,100.971,299
2020-12-23,101.231,101.251,101.105,101.13,258
2020-12-24,101.084,101.084,100.918,101.001,544
2020-12-25,100.97,100.985,100.885,100.984,617
2020-12-28,101.228,101.448,100.996,101.025,135
2020-12-29,101.025,101.05,101.024,101.05,724
2020-12-30,100.928,101.195,100.928,101.068,238
2020-12-31,101.042,101.102,101.042,101.102,133
2021-01-04,101.727,102.312,101.07,101.088,732
2021-01-05,101.063,101.1,101.063,101.099,1978
2021-01-06,101.1,101.105,101.052,101.098,3232
