Date,Open,High,Low,Close,Volume
2026-01-19,1.0,1.014,0.998,0.999,1012329
2026-01-20,1.002,1.006,0.971,0.978,176067
2026-01-21,0.975,1.003,0.971,0.995,124890
2026-01-22,0.995,1.002,0.988,0.996,61482
2026-01-23,1.0,1.014,0.997,1.013,453981
2026-01-26,1.015,1.029,0.99,0.998,179072
2026-01-27,0.995,1.009,0.982,1.008,82657
2026-01-28,0.999,1.019,0.998,1.005,75204
2026-01-29,1.005,1.015,0.982,0.987,98860
2026-01-30,0.987,0.987,0.956,0.973,433433
2026-02-02,0.972,0.972,0.937,0.94,79189
2026-02-03,0.939,0.963,0.939,0.963,26032
2026-02-04,0.963,0.963,0.941,0.953,53808
2026-02-05,0.95,0.95,0.933,0.939,59754
2026-02-06,0.941,0.943,0.924,0.932,30105
2026-02-09,0.939,0.953,0.937,0.953,46022
2026-02-10,0.953,0.96,0.946,0.956,41328
2026-02-11,0.958,0.964,0.953,0.953,34796
2026-02-12,0.953,0.98,0.953,0.977,77346
2026-02-13,0.96,0.981,0.96,0.967,40864
2026-02-24,0.966,0.97,0.948,0.953,56126
2026-02-25,0.954,0.958,0.95,0.956,37165
2026-02-26,0.959,0.963,0.948,0.96,35664
2026-02-27,0.957,0.969,0.95,0.963,65428
2026-03-02,0.958,0.962,0.945,0.948,63226
2026-03-03,0.949,0.949,0.895,0.897,133126
2026-03-04,0.895,0.907,0.89,0.894,22775
2026-03-05,0.914,0.918,0.903,0.91,24134
2026-03-06,0.91,0.923,0.909,0.919,21965
2026-03-09,0.913,0.924,0.888,0.921,49795
2026-03-10,0.922,0.94,0.921,0.929,32410
2026-03-11,0.929,0.934,0.92,0.923,34391
2026-03-12,0.926,0.926,0.906,0.911,32723
2026-03-13,0.908,0.908,0.897,0.908,8273
2026-03-16,0.898,0.902,0.886,0.897,5294907
2026-03-17,0.897,0.899,0.877,0.879,3779900
2026-03-18,0.879,0.892,0.875,0.89,3701803
