Date,Open,High,Low,Close,Volume
2024-12-27,1.008,1.08,0.971,0.988,756449
2024-12-30,0.995,1.011,0.986,0.991,901747
2024-12-31,0.991,0.995,0.983,0.985,214765
2025-01-02,0.985,0.994,0.965,0.965,94385
2025-01-03,0.966,0.983,0.956,0.96,243625
2025-01-06,0.97,0.984,0.961,0.969,157568
2025-01-07,0.981,0.981,0.952,0.958,111531
2025-01-08,0.956,0.96,0.934,0.941,57812
2025-01-09,0.938,0.961,0.938,0.95,141651
2025-01-10,0.956,0.958,0.937,0.939,67982
2025-01-13,0.939,0.939,0.925,0.929,38357
2025-01-14,0.938,0.982,0.938,0.951,1374670
2025-01-15,0.958,0.958,0.941,0.944,278040
2025-01-16,0.95,0.964,0.93,0.939,253925
2025-01-17,0.94,1.02,0.939,0.954,3291942
2025-01-20,0.962,0.998,0.962,0.979,2106813
2025-01-21,0.993,0.993,0.969,0.973,632754
2025-01-22,0.974,0.976,0.967,0.971,260845
2025-01-23,0.98,0.986,0.96,0.961,411595
2025-01-24,0.965,0.99,0.961,0.98,772575
2025-01-27,0.98,0.994,0.979,0.981,191626
2025-02-05,0.992,0.996,0.982,0.987,191565
2025-02-06,0.987,1.037,0.987,1.028,968030
2025-02-07,1.028,1.046,1.026,1.035,520187
2025-02-10,1.099,1.111,1.041,1.044,1665470
2025-02-11,1.044,1.047,1.022,1.028,461943
2025-02-12,1.026,1.031,1.016,1.024,351981
2025-02-13,1.028,1.043,1.024,1.029,392960
2025-02-14,1.04,1.126,1.037,1.063,5412990
2025-02-17,1.077,1.1,1.067,1.098,1902762
2025-02-18,1.085,1.113,1.083,1.097,835605
2025-02-19,1.103,1.132,1.098,1.123,738246
2025-02-20,1.126,1.154,1.116,1.14,1686544
2025-02-21,1.147,1.199,1.145,1.197,1598902
2025-02-24,1.209,1.209,1.162,1.171,1748747
2025-02-25,1.165,1.185,1.129,1.16,1194678
2025-02-26,1.179,1.222,1.166,1.218,1595299
2025-02-27,1.227,1.247,1.196,1.225,1938372
2025-02-28,1.231,1.243,1.175,1.177,1270829
2025-03-03,1.187,1.2,1.158,1.166,1329599
2025-03-04,1.146,1.166,1.13,1.166,957771
2025-03-05,1.175,1.191,1.165,1.177,937391
2025-03-06,1.197,1.219,1.189,1.192,1357504
2025-03-07,1.187,1.221,1.182,1.194,1155132
2025-03-10,1.205,1.218,1.168,1.171,884069
2025-03-11,1.163,1.194,1.16,1.174,1028353
2025-03-12,1.183,1.196,1.171,1.172,746318
2025-03-13,1.177,1.204,1.158,1.168,1362513
2025-03-14,1.176,1.231,1.176,1.23,1369173
2025-03-17,1.24,1.241,1.211,1.217,1121442
2025-03-18,1.231,1.268,1.231,1.252,1679441
2025-03-19,1.256,1.268,1.249,1.266,1352626
2025-03-20,1.273,1.297,1.264,1.284,1577423
2025-03-21,1.284,1.284,1.216,1.226,1461849
2025-03-24,1.226,1.252,1.205,1.218,1419753
2025-03-25,1.218,1.23,1.2,1.203,778418
2025-03-26,1.203,1.21,1.193,1.203,629848
2025-03-27,1.203,1.283,1.194,1.277,2734618
2025-03-28,1.281,1.344,1.281,1.294,6358511
2025-03-31,1.29,1.327,1.272,1.289,3642083
2025-04-01,1.309,1.39,1.304,1.367,3994266
2025-04-02,1.369,1.372,1.334,1.345,2340826
2025-04-03,1.33,1.48,1.308,1.329,7072919
2025-04-07,1.218,1.218,1.196,1.196,293212
2025-04-08,1.196,1.196,1.076,1.102,2804740
2025-04-09,1.039,1.123,1.02,1.108,4881507
2025-04-10,1.168,1.197,1.146,1.156,3236044
2025-04-11,1.137,1.212,1.137,1.209,3991900
2025-04-14,1.248,1.281,1.242,1.275,4328760
2025-04-15,1.294,1.308,1.251,1.255,3076110
2025-04-16,1.255,1.255,1.194,1.212,2513243
2025-04-17,1.203,1.233,1.2,1.212,2596609
2025-04-18,1.215,1.221,1.208,1.212,546669
2025-04-21,1.212,1.235,1.209,1.23,761315
