标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
"SH510500,SH510170,SH510230","中证500ETF,大宗商品ETF,金融ETF",2014-03-19,"3.3254,0.3285,0.4390",2014-03-26,"3.3434,0.3350,0.4567",1.66%,1.0166
"SH510900,SH510180,SH510300","恒生中国企业ETF易方达,上证180ETF,沪深300ETF华泰柏瑞",2014-03-26,"0.8299,1.4935,1.7716",2014-04-02,"0.8437,1.5006,1.7749",0.77%,1.0245
"SZ159920,SH513500,SZ159901","恒生ETF,标普500ETF博时,深证100ETF易方达",2014-04-02,"0.9709,0.5240,1.2612",2014-04-10,"0.9966,0.5190,1.3002",1.17%,1.0365
"SH510230,SH510050,SH510180","金融ETF,上证50ETF,上证180ETF",2014-04-10,"0.4947,1.2771,1.5754",2014-04-17,"0.4755,1.2356,1.5352",-0.20%,1.0345
"SH513500,SH511010,SZ159928","标普500ETF博时,国债ETF,消费ETF",2014-04-17,"0.5165,96.1724,0.9670",2014-04-24,"0.5220,95.6746,0.9550",0.45%,1.0391
"SH513500,SH511010,SH510880","标普500ETF博时,国债ETF,红利ETF华泰柏瑞",2014-04-24,"0.5220,95.6746,1.0125",2014-05-05,"0.5205,96.3940,1.0044",-0.26%,1.0364
"SH511010,SH510900,SH510410","国债ETF,恒生中国企业ETF易方达,资源ETF博时",2014-05-05,"96.3940,0.8226,0.5200",2014-05-12,"96.7493,0.8318,0.5780",-0.22%,1.0341
"SZ159930,SH510230,SH511010","能源ETF,金融ETF,国债ETF",2014-05-12,"0.8030,0.4753,96.7493",2014-05-19,"0.7720,0.4597,96.6204",0.74%,1.0418
"SZ159920,SH513500,SH510880","恒生ETF,标普500ETF博时,红利ETF华泰柏瑞",2014-05-19,"0.9871,0.5225,0.9970",2014-05-26,"1.0014,0.5280,1.0125",0.99%,1.0522
"SZ159915,SH510500,SZ159902","创业板ETF易方达,中证500ETF,中小100ETF华夏",2014-05-26,"1.2890,3.2057,2.1540",2014-06-03,"1.2870,3.1967,2.1670",1.32%,1.0661
"SH510900,SH513500,SH511010","恒生中国企业ETF易方达,标普500ETF博时,国债ETF",2014-06-03,"0.8766,0.5355,97.5984",2014-06-10,"0.8904,0.5420,97.4891",1.08%,1.0776
"SZ159902,SZ159929,SH510900","中小100ETF华夏,医药ETF,恒生中国企业ETF易方达",2014-06-10,"2.1890,0.9600,0.8904",2014-06-17,"2.2010,0.9650,0.8968",2.60%,1.1056
"SH510230,SH510050,SZ159915","金融ETF,上证50ETF,创业板ETF易方达",2014-06-17,"0.4761,1.2242,1.3500",2014-06-24,"0.4706,1.2136,1.3420",-2.36%,1.0795
"SH518880,SH513500,SH511010","黄金ETF,标普500ETF博时,国债ETF",2014-06-24,"2.6370,0.5460,97.8464",2014-07-01,"2.6380,0.5465,97.3993",-0.11%,1.0784
"SZ159915,SH510500,SZ159902","创业板ETF易方达,中证500ETF,中小100ETF华夏",2014-07-01,"1.3810,3.3194,2.2520",2014-07-08,"1.3810,3.3973,2.2600",0.87%,1.0878
