标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH510170,大宗商品ETF,2014-03-19,0.3285,2014-03-26,0.3350,1.53%,1.0153
SH510900,恒生中国企业ETF易方达,2014-03-26,0.8299,2014-04-02,0.8437,3.59%,1.0517
SZ159920,恒生ETF,2014-04-02,0.9709,2014-04-10,0.9966,1.38%,1.0662
SH510230,金融ETF,2014-04-10,0.4947,2014-04-17,0.4755,-0.16%,1.0644
SH513500,标普500ETF博时,2014-04-17,0.5165,2014-04-24,0.5220,1.56%,1.081
SH513500,标普500ETF博时,2014-04-24,0.5220,2014-05-05,0.5205,-0.19%,1.079
SH511010,国债ETF,2014-05-05,96.3940,2014-05-12,96.7493,0.60%,1.0854
空仓,-,2014-05-12,-,2014-05-19,-,0.00%,1.0854
SZ159920,恒生ETF,2014-05-19,0.9871,2014-05-26,1.0014,1.93%,1.1064
SZ159915,创业板ETF易方达,2014-05-26,1.2890,2014-06-03,1.2870,1.65%,1.1247
SH510900,恒生中国企业ETF易方达,2014-06-03,0.8766,2014-06-10,0.8904,1.37%,1.1401
SH513500,标普500ETF博时,2014-06-10,0.5420,2014-06-17,0.5375,-1.20%,1.1264
空仓,-,2014-06-17,-,2014-06-24,-,0.00%,1.1264
SH518880,黄金ETF,2014-06-24,2.6370,2014-07-01,2.6380,-0.30%,1.123
SZ159915,创业板ETF易方达,2014-07-01,1.3810,2014-07-08,1.3810,-0.58%,1.1165
SH510500,中证500ETF,2014-07-08,3.3973,2014-07-15,3.4422,1.86%,1.1373
SZ159928,消费ETF,2014-07-15,0.9420,2014-07-22,0.9600,2.59%,1.1668
空仓,-,2014-07-22,-,2014-07-29,-,0.00%,1.1668
SH510230,金融ETF,2014-07-29,0.5263,2014-08-05,0.5307,2.32%,1.1939
SZ159928,消费ETF,2014-08-05,1.0200,2014-08-12,1.0190,-0.20%,1.1915
SZ159915,创业板ETF易方达,2014-08-12,1.3640,2014-08-19,1.4040,2.20%,1.2177
SZ159915,创业板ETF易方达,2014-08-19,1.4040,2014-08-26,1.3770,0.86%,1.2282
SH513500,标普500ETF博时,2014-08-26,0.5545,2014-09-02,0.5580,0.63%,1.2359
SH510500,中证500ETF,2014-09-02,3.8492,2014-09-10,3.9600,4.34%,1.2896
SH510500,中证500ETF,2014-09-10,3.9600,2014-09-17,3.9390,-1.21%,1.274
SH510230,金融ETF,2014-09-17,0.5156,2014-09-24,0.5234,-0.64%,1.2659
空仓,-,2014-09-24,-,2014-10-08,-,0.00%,1.2659
SZ159929,医药ETF,2014-10-08,1.1490,2014-10-15,1.1900,3.34%,1.3082
SH511010,国债ETF,2014-10-15,99.7829,2014-10-22,99.7771,0.86%,1.3195
SH513500,标普500ETF博时,2014-10-22,0.5390,2014-10-29,0.5465,2.93%,1.3582
SH510500,中证500ETF,2014-10-29,4.2024,2014-11-05,4.1994,1.59%,1.3798
SH510170,大宗商品ETF,2014-11-05,0.3950,2014-11-12,0.3955,-2.21%,1.3492
SH510230,金融ETF,2014-11-12,0.5761,2014-11-19,0.5505,-2.99%,1.3089
SZ159915,创业板ETF易方达,2014-11-19,1.4640,2014-11-26,1.5100,3.82%,1.3589
SH510230,金融ETF,2014-11-26,0.6115,2014-12-03,0.7011,19.54%,1.6244
SH510230,金融ETF,2014-12-03,0.7011,2014-12-10,0.7832,8.24%,1.7583
SZ159929,医药ETF,2014-12-10,1.1930,2014-12-17,1.1830,2.72%,1.806
SH510230,金融ETF,2014-12-17,0.8595,2014-12-24,0.7999,2.25%,1.8466
SH513500,标普500ETF博时,2014-12-24,0.5750,2014-12-31,0.5740,0.26%,1.8515
SH510230,金融ETF,2014-12-31,0.9356,2015-01-09,0.9074,-2.82%,1.7993
SH511010,国债ETF,2015-01-09,101.2344,2015-01-16,102.7004,1.10%,1.8191
SH510050,上证50ETF,2015-01-16,2.1750,2015-01-23,2.1082,-3.36%,1.7579
SH510300,沪深300ETF华泰柏瑞,2015-01-23,2.9431,2015-01-30,2.8282,-2.23%,1.7187
SZ159920,恒生ETF,2015-01-30,1.0936,2015-02-06,1.0898,0.35%,1.7247
SH513500,标普500ETF博时,2015-02-06,0.5680,2015-02-13,0.5785,1.33%,1.7477
SZ159939,信息技术ETF,2015-02-13,1.0574,2015-02-27,1.1023,4.09%,1.8191
SH510880,红利ETF华泰柏瑞,2015-02-27,1.6044,2015-03-06,1.5807,-1.40%,1.7937
SH518880,黄金ETF,2015-03-06,2.4390,2015-03-13,2.3590,-3.14%,1.7373
SH510880,红利ETF华泰柏瑞,2015-03-13,1.6704,2015-03-20,1.8063,7.41%,1.8661
SH510880,红利ETF华泰柏瑞,2015-03-20,1.8063,2015-03-27,1.8499,2.98%,1.9217
SZ159928,消费ETF,2015-03-27,1.3880,2015-04-03,1.4340,2.38%,1.9675
SZ159915,创业板ETF易方达,2015-04-03,2.3910,2015-04-13,2.4510,2.32%,2.0132
SH510050,上证50ETF,2015-04-13,2.4983,2015-04-20,2.5918,8.48%,2.184
SZ159930,能源ETF,2015-04-20,1.3280,2015-04-27,1.5430,5.25%,2.2987
SZ159930,能源ETF,2015-04-27,1.5430,2015-05-05,1.3870,0.93%,2.32
SH510230,金融ETF,2015-05-05,1.0041,2015-05-12,1.0354,-1.13%,2.2936
SZ159939,信息技术ETF,2015-05-12,1.7708,2015-05-19,1.8591,6.16%,2.4348
SZ159915,创业板ETF易方达,2015-05-19,3.1850,2015-05-26,3.4630,5.38%,2.566
SZ159930,能源ETF,2015-05-26,1.4760,2015-06-02,1.4600,-3.60%,2.4736
SH518880,黄金ETF,2015-06-02,2.3790,2015-06-09,2.3660,-0.67%,2.457
SZ159930,能源ETF,2015-06-09,1.5860,2015-06-16,1.5070,0.90%,2.4791
SH511010,国债ETF,2015-06-16,103.6560,2015-06-24,104.1050,0.18%,2.4836
SH513500,标普500ETF博时,2015-06-24,0.5850,2015-07-01,0.5720,-2.14%,2.4303
SH518880,黄金ETF,2015-07-01,2.3490,2015-07-08,2.2360,-1.41%,2.3962
SH511010,国债ETF,2015-07-08,105.2392,2015-07-15,104.7658,-0.20%,2.3913
SH513500,标普500ETF博时,2015-07-15,0.5825,2015-07-22,0.5875,2.16%,2.4429
SZ159939,信息技术ETF,2015-07-22,1.4802,2015-07-29,1.3854,-9.33%,2.2149
空仓,-,2015-07-29,-,2015-08-05,-,0.00%,2.2149
SH513500,标普500ETF博时,2015-08-05,0.5855,2015-08-12,0.6000,2.48%,2.2698
SH510170,大宗商品ETF,2015-08-12,0.6045,2015-08-19,0.5612,-3.91%,2.1811
SH513500,标普500ETF博时,2015-08-19,0.6130,2015-08-26,0.5565,-9.83%,1.9668
SH511010,国债ETF,2015-08-26,105.5145,2015-09-02,106.5052,1.05%,1.9873
SH510050,上证50ETF,2015-09-02,1.8676,2015-09-11,1.8317,-0.99%,1.9677
SH511010,国债ETF,2015-09-11,105.6257,2015-09-18,105.7663,-0.07%,1.9663
SH510900,恒生中国企业ETF易方达,2015-09-18,0.9270,2015-09-25,0.8831,-2.00%,1.927
SZ159930,能源ETF,2015-09-25,0.9190,2015-10-09,0.9350,2.18%,1.9689
SZ159943,深证成指ETF大成,2015-10-09,0.8851,2015-10-16,0.9562,8.06%,2.1277
SZ159939,信息技术ETF,2015-10-16,1.2398,2015-10-23,1.2695,1.71%,2.164
空仓,-,2015-10-23,-,2015-10-30,-,0.00%,2.164
SZ159941,纳指ETF,2015-10-30,0.2490,2015-11-06,0.2500,-0.30%,2.1575
SH510230,金融ETF,2015-11-06,0.8595,2015-11-13,0.8495,2.32%,2.2076
SH511010,国债ETF,2015-11-13,106.3997,2015-11-20,106.4194,-0.00%,2.2075
SH513500,标普500ETF博时,2015-11-20,0.6115,2015-11-27,0.6120,0.49%,2.2184
SH511010,国债ETF,2015-11-27,106.8332,2015-12-04,107.0036,0.13%,2.2213
SZ159901,深证100ETF易方达,2015-12-04,2.1848,2015-12-11,2.1638,-1.66%,2.1843
SH511010,国债ETF,2015-12-11,107.1445,2015-12-18,107.4804,0.06%,2.1856
SZ159915,创业板ETF易方达,2015-12-18,2.6680,2015-12-25,2.6200,-1.87%,2.1448
SH513500,标普500ETF博时,2015-12-25,0.6135,2016-01-04,0.6135,0.82%,2.1623
SH511010,国债ETF,2016-01-04,107.8794,2016-01-11,108.2686,0.00%,2.1624
SH518880,黄金ETF,2016-01-11,2.3470,2016-01-18,2.3130,-1.45%,2.1309
SH510050,上证50ETF,2016-01-18,1.7290,2016-01-25,1.7248,-0.14%,2.1278
SZ159943,深证成指ETF大成,2016-01-25,0.8910,2016-02-01,0.8291,-6.89%,1.9812
SZ159920,恒生ETF,2016-02-01,0.9443,2016-02-15,0.9034,-1.21%,1.9572
SH518880,黄金ETF,2016-02-15,2.5470,2016-02-22,2.5550,5.02%,2.0554
SZ159939,信息技术ETF,2016-02-22,1.1684,2016-02-29,0.9855,-8.38%,1.8831
SH510900,恒生中国企业ETF易方达,2016-02-29,0.7438,2016-03-07,0.8089,6.22%,2.0002
SH510050,上证50ETF,2016-03-07,1.7632,2016-03-14,1.7340,-2.64%,1.9474
SZ159920,恒生ETF,2016-03-14,0.9776,2016-03-21,0.9890,2.07%,1.9877
SZ159915,创业板ETF易方达,2016-03-21,2.1160,2016-03-28,2.0730,1.11%,2.0098
SH511010,国债ETF,2016-03-28,109.7039,2016-04-05,109.9217,0.38%,2.0175
SH510880,红利ETF华泰柏瑞,2016-04-05,1.6008,2016-04-12,1.5864,1.16%,2.0409
SH518880,黄金ETF,2016-04-12,2.6070,2016-04-19,2.5880,-1.12%,2.0181
SH510880,红利ETF华泰柏瑞,2016-04-19,1.6002,2016-04-26,1.5779,-2.08%,1.9761
SH511010,国债ETF,2016-04-26,108.5631,2016-05-04,109.0862,0.66%,1.9891
SZ159928,消费ETF,2016-05-04,1.3260,2016-05-11,1.3380,-1.21%,1.9651
SH513500,标普500ETF博时,2016-05-11,0.6280,2016-05-18,0.6155,-0.40%,1.9572
SH511010,国债ETF,2016-05-18,109.2852,2016-05-25,109.3059,-0.13%,1.9546
SZ159941,纳指ETF,2016-05-25,0.2395,2016-06-01,0.2445,3.49%,2.0229
SZ159943,深证成指ETF大成,2016-06-01,0.8945,2016-06-08,0.9026,1.72%,2.0577
SH510900,恒生中国企业ETF易方达,2016-06-08,0.8519,2016-06-17,0.8107,-4.97%,1.9554
SH510410,资源ETF博时,2016-06-17,0.6440,2016-06-24,0.6250,-0.95%,1.9368
SH511010,国债ETF,2016-06-24,109.7690,2016-07-01,110.1896,0.27%,1.9421
SH510900,恒生中国企业ETF易方达,2016-07-01,0.8556,2016-07-08,0.8464,-0.43%,1.9338
SZ159928,消费ETF,2016-07-08,1.4400,2016-07-15,1.4850,2.48%,1.9818
SZ159920,恒生ETF,2016-07-15,1.0860,2016-07-22,1.1003,2.73%,2.0358
SH511010,国债ETF,2016-07-22,110.5738,2016-07-29,110.7512,0.08%,2.0374
SH511010,国债ETF,2016-07-29,110.7512,2016-08-05,111.0447,0.20%,2.0414
SZ159901,深证100ETF易方达,2016-08-05,1.9286,2016-08-12,1.9789,0.84%,2.0585
SH510230,金融ETF,2016-08-12,0.8060,2016-08-19,0.8164,3.23%,2.125
SZ159920,恒生ETF,2016-08-19,1.1516,2016-08-26,1.1526,0.08%,2.1267
SZ159928,消费ETF,2016-08-26,1.4580,2016-09-02,1.4540,-0.34%,2.1194
SZ159920,恒生ETF,2016-09-02,1.1706,2016-09-09,1.2315,3.59%,2.1955
SH510900,恒生中国企业ETF易方达,2016-09-09,0.9957,2016-09-20,0.9554,-2.33%,2.1442
SZ159941,纳指ETF,2016-09-20,0.2635,2016-09-27,0.2685,0.57%,2.1564
SH511010,国债ETF,2016-09-27,111.2447,2016-10-11,111.5166,0.24%,2.1616
SH512660,军工ETF,2016-10-11,1.0070,2016-10-18,1.0050,-0.40%,2.1529
SZ159929,医药ETF,2016-10-18,1.4850,2016-10-25,1.4800,0.27%,2.1587
SZ159930,能源ETF,2016-10-25,0.8320,2016-11-01,0.8190,-0.49%,2.1482
SH512880,证券ETF,2016-11-01,1.0700,2016-11-08,1.0910,2.74%,2.207
SH510050,上证50ETF,2016-11-08,1.9528,2016-11-15,1.9762,1.89%,2.2486
SH512880,证券ETF,2016-11-15,1.1320,2016-11-22,1.1350,-2.01%,2.2033
SH513500,标普500ETF博时,2016-11-22,0.7895,2016-11-29,0.8220,6.93%,2.3561
SH510050,上证50ETF,2016-11-29,2.0880,2016-12-06,2.0215,-1.41%,2.3228
SH513500,标普500ETF博时,2016-12-06,0.8895,2016-12-13,0.9360,3.63%,2.4071
SH511010,国债ETF,2016-12-13,108.7592,2016-12-20,107.5612,-1.31%,2.3755
SH512880,证券ETF,2016-12-20,1.0300,2016-12-27,1.0270,0.49%,2.3871
SZ159941,纳指ETF,2016-12-27,0.3212,2017-01-04,0.3050,-3.78%,2.2968
