标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH510230,金融ETF,2014-03-19,0.4390,2014-03-26,0.4567,3.63%,1.0363
"SH510900,SH510500,SZ159920","恒生中国企业ETF易方达,中证500ETF,恒生ETF",2014-03-26,"0.8299,3.3434,0.9510",2014-04-02,"0.8437,3.2626,0.9709",1.34%,1.0502
"SZ159920,SH513500,SH511010","恒生ETF,标普500ETF博时,国债ETF",2014-04-02,"0.9709,0.5240,95.0919",2014-04-10,"0.9966,0.5190,95.2627",0.13%,1.0516
"SH510230,SH510050,SH510180","金融ETF,上证50ETF,上证180ETF",2014-04-10,"0.4947,1.2771,1.5754",2014-04-17,"0.4755,1.2356,1.5352",-0.20%,1.0495
"SH513500,SZ159920,SZ159930","标普500ETF博时,恒生ETF,能源ETF",2014-04-17,"0.5165,0.9843,0.7960",2014-04-24,"0.5220,0.9776,0.7900",-0.13%,1.0482
"SH513500,SH510900,SH510170","标普500ETF博时,恒生中国企业ETF易方达,大宗商品ETF",2014-04-24,"0.5220,0.8363,0.3260",2014-05-05,"0.5205,0.8226,0.3142",-1.69%,1.0305
SH510900,恒生中国企业ETF易方达,2014-05-05,0.8226,2014-05-12,0.8318,-0.89%,1.0213
空仓,-,2014-05-12,-,2014-05-19,-,0.00%,1.0213
"SH510880,SH510300,SH510230","红利ETF华泰柏瑞,沪深300ETF华泰柏瑞,金融ETF",2014-05-19,"0.9970,1.7267,0.4597",2014-05-26,"1.0125,1.7618,0.4666",0.13%,1.0227
"SZ159915,SH510500,SZ159902","创业板ETF易方达,中证500ETF,中小100ETF华夏",2014-05-26,"1.2890,3.2057,2.1540",2014-06-03,"1.2870,3.1967,2.1670",1.32%,1.0362
"SH510900,SH513500,SH511010","恒生中国企业ETF易方达,标普500ETF博时,国债ETF",2014-06-03,"0.8766,0.5355,97.5984",2014-06-10,"0.8904,0.5420,97.4891",1.08%,1.0473
空仓,-,2014-06-10,-,2014-06-17,-,0.00%,1.0473
空仓,-,2014-06-17,-,2014-06-24,-,0.00%,1.0473
SH518880,黄金ETF,2014-06-24,2.6370,2014-07-01,2.6380,-0.30%,1.0442
"SZ159915,SH510500,SZ159902","创业板ETF易方达,中证500ETF,中小100ETF华夏",2014-07-01,"1.3810,3.3194,2.2520",2014-07-08,"1.3810,3.3973,2.2600",0.87%,1.0533
空仓,-,2014-07-08,-,2014-07-15,-,0.00%,1.0533
"SH510500,SZ159929,SH510410","中证500ETF,医药ETF,资源ETF博时",2014-07-15,"3.4422,0.9920,0.5550",2014-07-22,"3.4362,0.9910,0.5630",-0.61%,1.0469
空仓,-,2014-07-22,-,2014-07-29,-,0.00%,1.0469
"SH510230,SH510410,SH510170","金融ETF,资源ETF博时,大宗商品ETF",2014-07-29,"0.5263,0.6050,0.3590",2014-08-05,"0.5307,0.6270,0.3750",2.12%,1.069
"SZ159928,SH510410,SZ159930","消费ETF,资源ETF博时,能源ETF",2014-08-05,"1.0200,0.6270,0.8760",2014-08-12,"1.0190,0.6300,0.8720",0.26%,1.0718
SZ159915,创业板ETF易方达,2014-08-12,1.3640,2014-08-19,1.4040,2.20%,1.0954
"SZ159915,SH510500,SH513500","创业板ETF易方达,中证500ETF,标普500ETF博时",2014-08-19,"1.4040,3.7834,0.5475",2014-08-26,"1.3770,3.7115,0.5545",0.82%,1.1043
"SH513500,SH510050,SH510410","标普500ETF博时,上证50ETF,资源ETF博时",2014-08-26,"0.5545,1.3179,0.6190",2014-09-02,"0.5580,1.3440,0.6380",0.29%,1.1075
"SZ159928,SZ159930,SH510180","消费ETF,能源ETF,上证180ETF",2014-09-02,"1.0340,0.8920,1.6826",2014-09-10,"1.0520,0.9040,1.7149",3.71%,1.1486
"SH510500,SZ159902,SH513500","中证500ETF,中小100ETF华夏,标普500ETF博时",2014-09-10,"3.9600,2.5510,0.5510",2014-09-17,"3.9390,2.5050,0.5530",-1.51%,1.1313
SH510230,金融ETF,2014-09-17,0.5156,2014-09-24,0.5234,-0.64%,1.1241
空仓,-,2014-09-24,-,2014-10-08,-,0.00%,1.1241
"SZ159929,SH510500,SZ159902","医药ETF,中证500ETF,中小100ETF华夏",2014-10-08,"1.1490,4.2054,2.6380",2014-10-15,"1.1900,4.1905,2.6110",1.20%,1.1375
"SH511010,SZ159928,SH513500","国债ETF,消费ETF,标普500ETF博时",2014-10-15,"99.7829,1.0500,0.5245",2014-10-22,"99.7771,1.0290,0.5390",0.29%,1.1408
"SH513500,SH518880,SZ159930","标普500ETF博时,黄金ETF,能源ETF",2014-10-22,"0.5390,2.4640,0.8780",2014-10-29,"0.5465,2.4280,0.8790",-0.20%,1.1385
"SH510500,SZ159915,SZ159929","中证500ETF,创业板ETF易方达,医药ETF",2014-10-29,"4.2024,1.4890,1.1430",2014-11-05,"4.1994,1.4710,1.1220",-0.12%,1.1372
"SH510170,SH511010,SZ159928","大宗商品ETF,国债ETF,消费ETF",2014-11-05,"0.3950,101.3261,1.0090",2014-11-12,"0.3955,101.6658,1.0290",-0.43%,1.1324
"SH510230,SH510050,SH510180","金融ETF,上证50ETF,上证180ETF",2014-11-12,"0.5761,1.4475,1.8389",2014-11-19,"0.5505,1.3991,1.7937",-1.75%,1.1125
"SZ159915,SZ159902,SH510300","创业板ETF易方达,中小100ETF华夏,沪深300ETF华泰柏瑞",2014-11-19,"1.4640,2.5170,2.1045",2014-11-26,"1.5100,2.5900,2.2567",4.34%,1.1608
"SH510230,SH510050,SH510410","金融ETF,上证50ETF,资源ETF博时",2014-11-26,"0.6115,1.5168,0.6850",2014-12-03,"0.7011,1.6981,0.7460",12.38%,1.3045
"SH510230,SH510050,SH510180","金融ETF,上证50ETF,上证180ETF",2014-12-03,"0.7011,1.6981,2.1206",2014-12-10,"0.7832,1.8702,2.3111",7.44%,1.4015
"SH510170,SZ159930","大宗商品ETF,能源ETF",2014-12-10,"0.4440,0.9980",2014-12-17,"0.4470,1.0140",3.94%,1.4567
"SH510050,SH510180,SH510300","上证50ETF,上证180ETF,沪深300ETF华泰柏瑞",2014-12-17,"1.9679,2.4346,2.7712",2014-12-24,"1.8844,2.3329,2.6566",1.61%,1.4801
"SH511010,SZ159901,SH510500","国债ETF,深证100ETF易方达,中证500ETF",2014-12-24,"101.1982,1.7398,4.4149",2014-12-31,"100.9249,1.8452,4.4569",0.73%,1.4908
"SH510230,SH510050,SH510180","金融ETF,上证50ETF,上证180ETF",2014-12-31,"0.9356,2.1316,2.5936",2015-01-09,"0.9074,2.1082,2.5815",0.08%,1.4921
"SH511010,SH510180,SH510300","国债ETF,上证180ETF,沪深300ETF华泰柏瑞",2015-01-09,"101.2344,2.5815,2.9086",2015-01-16,"102.7004,2.6574,2.9953",1.48%,1.5142
"SH510500,SH511010,SH513500","中证500ETF,国债ETF,标普500ETF博时",2015-01-16,"4.6305,102.7004,0.5560",2015-01-23,"4.7322,103.1650,0.5760",2.23%,1.548
"SH510300,SH510170,SH510180","沪深300ETF华泰柏瑞,大宗商品ETF,上证180ETF",2015-01-23,"2.9431,0.4850,2.5945",2015-01-30,"2.8282,0.4678,2.4709",-1.97%,1.5174
"SZ159920,SH510500,SZ159902","恒生ETF,中证500ETF,中小100ETF华夏",2015-01-30,"1.0936,4.7352,2.8160",2015-02-06,"1.0898,4.6514,2.8050",-0.12%,1.5156
SH511010,国债ETF,2015-02-06,103.9059,2015-02-13,104.4037,0.70%,1.5262
"SZ159939,SZ159915,SZ159902","信息技术ETF,创业板ETF易方达,中小100ETF华夏",2015-02-13,"1.0574,1.7610,2.9570",2015-02-27,"1.1023,1.8630,3.0830",4.86%,1.6003
"SH510170,SH510500,SH510900","大宗商品ETF,中证500ETF,恒生中国企业ETF易方达",2015-02-27,"0.4785,5.0645,1.0580",2015-03-06,"0.4888,5.1483,1.0150",0.56%,1.6093
"SH518880,SZ159920,SH510880","黄金ETF,恒生ETF,红利ETF华泰柏瑞",2015-03-06,"2.4390,1.0784,1.5807",2015-03-13,"2.3590,1.0689,1.6704",0.13%,1.6113
SH510170,大宗商品ETF,2015-03-13,0.4947,2015-03-20,0.5282,7.66%,1.7348
"SH510880,SZ159939,SH510170","红利ETF华泰柏瑞,信息技术ETF,大宗商品ETF",2015-03-20,"1.8063,1.2822,0.5282",2015-03-27,"1.8499,1.3402,0.5425",3.54%,1.7963
"SZ159928,SH518880,SH510900","消费ETF,黄金ETF,恒生中国企业ETF易方达",2015-03-27,"1.3880,2.4060,1.0278",2015-04-03,"1.4340,2.3920,1.1698",3.31%,1.8557
"SZ159915,SZ159939,SZ159902","创业板ETF易方达,信息技术ETF,中小100ETF华夏",2015-04-03,"2.3910,1.4361,3.9280",2015-04-13,"2.4510,1.4862,4.0520",2.39%,1.9
"SH510050,SH510230,SH510880","上证50ETF,金融ETF,红利ETF华泰柏瑞",2015-04-13,"2.4983,1.0372,2.1345",2015-04-20,"2.5918,1.0146,2.1473",5.86%,2.0112
"SH518880,SH511010","黄金ETF,国债ETF",2015-04-20,"2.4170,104.1089",2015-04-27,"2.3760,104.3822",0.24%,2.0161
"SH510410,SH510170,SZ159915","资源ETF博时,大宗商品ETF,创业板ETF易方达",2015-04-27,"1.0960,0.6625,2.6500",2015-05-05,"1.0160,0.6250,2.6700",1.24%,2.0411
SZ159930,能源ETF,2015-05-05,1.3870,2015-05-12,1.3470,-4.73%,1.9445
"SZ159939,SZ159915,SZ159902","信息技术ETF,创业板ETF易方达,中小100ETF华夏",2015-05-12,"1.7708,3.1290,4.4610",2015-05-19,"1.8591,3.1850,4.7320",5.01%,2.042
空仓,-,2015-05-19,-,2015-05-26,-,0.00%,2.042
"SZ159930,SZ159928,SH510500","能源ETF,消费ETF,中证500ETF",2015-05-26,"1.4760,1.8340,8.8127",2015-06-02,"1.4600,1.8640,9.2834",1.24%,2.0674
SH511010,国债ETF,2015-06-02,103.4354,2015-06-09,104.3812,1.28%,2.0938
"SZ159930,SH510410,SH510170","能源ETF,资源ETF博时,大宗商品ETF",2015-06-09,"1.5860,1.2250,0.7670",2015-06-16,"1.5070,1.1480,0.7258",0.71%,2.1087
"SH511010,SH510230,SH510900","国债ETF,金融ETF,恒生中国企业ETF易方达",2015-06-16,"103.6560,1.0469,1.1441",2015-06-24,"104.1050,1.0015,1.1863",-2.29%,2.0605
"SH513500,SH511010","标普500ETF博时,国债ETF",2015-06-24,"0.5850,104.1050",2015-07-01,"0.5720,103.5330",-1.31%,2.0335
"SH513500,SH510410,SH510170","标普500ETF博时,资源ETF博时,大宗商品ETF",2015-07-01,"0.5720,0.9650,0.5880",2015-07-08,"0.5595,0.6810,0.4335",-17.23%,1.6832
"SH511010,SZ159920,SH510900","国债ETF,恒生ETF,恒生中国企业ETF易方达",2015-07-08,"105.2392,1.0033,0.9325",2015-07-15,"104.7658,1.0965,0.9820",-2.18%,1.6465
SH513500,标普500ETF博时,2015-07-15,0.5825,2015-07-22,0.5875,2.16%,1.682
"SZ159939,SH510500,SH510170","信息技术ETF,中证500ETF,大宗商品ETF",2015-07-22,"1.4802,7.0121,0.5638",2015-07-29,"1.3854,6.8468,0.5335",-7.04%,1.5636
空仓,-,2015-07-29,-,2015-08-05,-,0.00%,1.5636
SH513500,标普500ETF博时,2015-08-05,0.5855,2015-08-12,0.6000,2.48%,1.6023
"SH510170,SH510410,SH518880","大宗商品ETF,资源ETF博时,黄金ETF",2015-08-12,"0.6045,0.8760,2.3270",2015-08-19,"0.5612,0.8450,2.3100",-1.98%,1.5707
"SH511010,SZ159920,SH510900","国债ETF,恒生ETF,恒生中国企业ETF易方达",2015-08-19,"105.1221,1.0965,0.9884",2015-08-26,"105.5145,1.0099,0.8849",-7.93%,1.4461
"SH511010,SH513500,SZ159941","国债ETF,标普500ETF博时,纳指ETF",2015-08-26,"105.5145,0.5565,0.2150",2015-09-02,"106.5052,0.5645,0.2245",3.30%,1.4938
"SH510050,SH510230,SH518880","上证50ETF,金融ETF,黄金ETF",2015-09-02,"1.8676,0.7521,2.3510",2015-09-11,"1.8317,0.7351,2.2870",-1.44%,1.4722
SH511010,国债ETF,2015-09-11,105.6257,2015-09-18,105.7663,-0.07%,1.4711
SH510900,恒生中国企业ETF易方达,2015-09-18,0.9270,2015-09-25,0.8831,-2.00%,1.4418
"SZ159941,SH510900","纳指ETF,恒生中国企业ETF易方达",2015-09-25,"0.2288,0.8831",2015-10-09,"0.2317,0.9499",2.28%,1.4746
SH511010,国债ETF,2015-10-09,106.2588,2015-10-16,106.4125,0.81%,1.4866
空仓,-,2015-10-16,-,2015-10-23,-,0.00%,1.4866
空仓,-,2015-10-23,-,2015-10-30,-,0.00%,1.4866
"SZ159941,SH513500,SZ159920","纳指ETF,标普500ETF博时,恒生ETF",2015-10-30,"0.2490,0.6060,1.0641",2015-11-06,"0.2500,0.6090,1.0803",0.62%,1.4959
"SH510230,SZ159901,SH510050","金融ETF,深证100ETF易方达,上证50ETF",2015-11-06,"0.8595,2.1941,2.0873",2015-11-13,"0.8495,2.1838,2.0414",2.63%,1.5352
"SH511010,SZ159941,SH510880","国债ETF,纳指ETF,红利ETF华泰柏瑞",2015-11-13,"106.3997,0.2465,1.8441",2015-11-20,"106.4194,0.2495,1.8576",0.45%,1.5421
"SH513500,SZ159941,SZ159920","标普500ETF博时,纳指ETF,恒生ETF",2015-11-20,"0.6115,0.2495,1.0698",2015-11-27,"0.6120,0.2505,1.0480",0.30%,1.5467
SH511010,国债ETF,2015-11-27,106.8332,2015-12-04,107.0036,0.13%,1.5487
"SZ159901,SZ159929,SZ159943","深证100ETF易方达,医药ETF,深证成指ETF大成",2015-12-04,"2.1848,1.5370,1.0781",2015-12-11,"2.1638,1.5270,1.0578",-1.20%,1.5301
"SH511010,SH513500,SH510230","国债ETF,标普500ETF博时,金融ETF",2015-12-11,"107.1445,0.6075,0.8169",2015-12-18,"107.4804,0.6055,0.8478",1.35%,1.5507
"SZ159915,SZ159943,SZ159939","创业板ETF易方达,深证成指ETF大成,信息技术ETF",2015-12-18,"2.6680,1.1152,1.4610",2015-12-25,"2.6200,1.1291,1.4635",-0.65%,1.5405
"SH513500,SH510900,SZ159920","标普500ETF博时,恒生中国企业ETF易方达,恒生ETF",2015-12-25,"0.6135,0.9325,1.0651",2016-01-04,"0.6135,0.8794,1.0289",-0.48%,1.5332
SH511010,国债ETF,2016-01-04,107.8794,2016-01-11,108.2686,0.00%,1.5333
"SH518880,SH511010,SH513500","黄金ETF,国债ETF,标普500ETF博时",2016-01-11,"2.3470,108.2686,0.5865",2016-01-18,"2.3130,108.5336,0.5815",-0.93%,1.519
"SZ159930,SH510410","能源ETF,资源ETF博时",2016-01-18,"0.7890,0.6000",2016-01-25,"0.8070,0.6070",-1.79%,1.4918
SZ159943,深证成指ETF大成,2016-01-25,0.8910,2016-02-01,0.8291,-6.89%,1.389
SZ159920,恒生ETF,2016-02-01,0.9443,2016-02-15,0.9034,-1.21%,1.3721
"SH518880,SH510410","黄金ETF,资源ETF博时",2016-02-15,"2.5470,0.5750",2016-02-22,"2.5550,0.6090",4.47%,1.4335
"SZ159939,SH510880,SZ159928","信息技术ETF,红利ETF华泰柏瑞,消费ETF",2016-02-22,"1.1684,1.5276,1.2190",2016-02-29,"0.9855,1.4294,1.1690",-4.87%,1.3637
