标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
"SH510500,SH510170,SH510230","中证500ETF,大宗商品ETF,金融ETF",2014-03-19,"3.3254,0.3285,0.4390",2014-03-26,"3.3434,0.3350,0.4567",1.66%,1.0166
"SH510900,SH510180,SH510300,SZ159930,SH510880","恒生中国企业ETF易方达,上证180ETF,沪深300ETF华泰柏瑞,能源ETF,红利ETF华泰柏瑞",2014-03-26,"0.8299,1.4935,1.7716,0.7950,1.0106",2014-04-02,"0.8437,1.5006,1.7749,0.7900,1.0100",-0.16%,1.015
"SZ159920,SH513500,SZ159901,SH510050,SH510230","恒生ETF,标普500ETF博时,深证100ETF易方达,上证50ETF,金融ETF",2014-04-02,"0.9709,0.5240,1.2612,1.2127,0.4653",2014-04-10,"0.9966,0.5190,1.3002,1.2771,0.4947",2.31%,1.0384
"SH510230,SH510050,SH510180,SZ159930,SH510300","金融ETF,上证50ETF,上证180ETF,能源ETF,沪深300ETF华泰柏瑞",2014-04-10,"0.4947,1.2771,1.5754,0.8210,1.8526",2014-04-17,"0.4755,1.2356,1.5352,0.7960,1.8150",-0.42%,1.0341
"SH513500,SH511010,SZ159928,SZ159920,SZ159929","标普500ETF博时,国债ETF,消费ETF,恒生ETF,医药ETF",2014-04-17,"0.5165,96.1724,0.9670,0.9843,1.0040",2014-04-24,"0.5220,95.6746,0.9550,0.9776,0.9700",-0.43%,1.0296
"SH513500,SH511010,SH510880,SZ159920,SH510900","标普500ETF博时,国债ETF,红利ETF华泰柏瑞,恒生ETF,恒生中国企业ETF易方达",2014-04-24,"0.5220,95.6746,1.0125,0.9776,0.8363",2014-05-05,"0.5205,96.3940,1.0044,0.9567,0.8226",-0.61%,1.0234
"SH511010,SH510900,SH510410","国债ETF,恒生中国企业ETF易方达,资源ETF博时",2014-05-05,"96.3940,0.8226,0.5200",2014-05-12,"96.7493,0.8318,0.5780",-0.22%,1.0211
"SZ159930,SH510230,SH511010,SH518880,SZ159915","能源ETF,金融ETF,国债ETF,黄金ETF,创业板ETF易方达",2014-05-12,"0.8030,0.4753,96.7493,2.5930,1.2520",2014-05-19,"0.7720,0.4597,96.6204,2.5960,1.2030",0.04%,1.0215
"SZ159920,SH513500,SH510880,SZ159901,SH510300","恒生ETF,标普500ETF博时,红利ETF华泰柏瑞,深证100ETF易方达,沪深300ETF华泰柏瑞",2014-05-19,"0.9871,0.5225,0.9970,1.2246,1.7267",2014-05-26,"1.0014,0.5280,1.0125,1.2539,1.7618",0.82%,1.03
"SZ159915,SH510500,SZ159902,SZ159929,SH510900","创业板ETF易方达,中证500ETF,中小100ETF华夏,医药ETF,恒生中国企业ETF易方达",2014-05-26,"1.2890,3.2057,2.1540,0.9540,0.8537",2014-06-03,"1.2870,3.1967,2.1670,0.9560,0.8766",1.31%,1.0434
"SH510900,SH513500,SH511010,SH510410,SH510880","恒生中国企业ETF易方达,标普500ETF博时,国债ETF,资源ETF博时,红利ETF华泰柏瑞",2014-06-03,"0.8766,0.5355,97.5984,0.5360,1.0069",2014-06-10,"0.8904,0.5420,97.4891,0.5300,1.0100",0.13%,1.0448
"SZ159902,SZ159929,SH510900,SH513500","中小100ETF华夏,医药ETF,恒生中国企业ETF易方达,标普500ETF博时",2014-06-10,"2.1890,0.9600,0.8904,0.5420",2014-06-17,"2.2010,0.9650,0.8968,0.5375",1.64%,1.062
"SH510230,SH510050,SZ159915,SH510180,SH510880","金融ETF,上证50ETF,创业板ETF易方达,上证180ETF,红利ETF华泰柏瑞",2014-06-17,"0.4761,1.2242,1.3500,1.5045,1.0218",2014-06-24,"0.4706,1.2136,1.3420,1.4903,1.0100",-2.23%,1.0383
