标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH510500,中证500ETF,2014-03-19,3.3254,2014-04-02,3.2626,-2.33%,0.9767
SZ159920,恒生ETF,2014-04-02,0.9709,2014-04-17,0.9843,1.77%,0.994
SH513500,标普500ETF博时,2014-04-17,0.5165,2014-05-05,0.5205,1.36%,1.0075
SH511010,国债ETF,2014-05-05,96.3940,2014-05-19,96.6204,0.44%,1.0119
SZ159920,恒生ETF,2014-05-19,0.9871,2014-06-03,1.0175,2.12%,1.0334
SH510900,恒生中国企业ETF易方达,2014-06-03,0.8766,2014-06-17,0.8968,3.91%,1.0738
SH510050,上证50ETF,2014-06-17,1.2242,2014-07-01,1.2168,-1.25%,1.0603
SZ159915,创业板ETF易方达,2014-07-01,1.3810,2014-07-15,1.3110,-2.48%,1.0341
SZ159928,消费ETF,2014-07-15,0.9420,2014-07-29,0.9810,6.59%,1.1022
SH510230,金融ETF,2014-07-29,0.5263,2014-08-12,0.5198,0.18%,1.1041
SZ159915,创业板ETF易方达,2014-08-12,1.3640,2014-08-26,1.3770,3.07%,1.1381
SH510900,恒生中国企业ETF易方达,2014-08-26,0.9618,2014-09-10,0.9655,2.48%,1.1663
SH510500,中证500ETF,2014-09-10,3.9600,2014-09-24,4.0528,1.14%,1.1796
空仓,-,2014-09-24,-,2014-10-15,-,0.00%,1.1796
SH511010,国债ETF,2014-10-15,99.7829,2014-10-29,100.4623,0.81%,1.1891
SH510500,中证500ETF,2014-10-29,4.2024,2014-11-12,4.1695,-0.94%,1.1779
SH510230,金融ETF,2014-11-12,0.5761,2014-11-26,0.6115,3.78%,1.2225
SH510230,金融ETF,2014-11-26,0.6115,2014-12-10,0.7832,29.39%,1.5817
SZ159929,医药ETF,2014-12-10,1.1930,2014-12-24,1.1260,-5.01%,1.5025
SH513500,标普500ETF博时,2014-12-24,0.5750,2015-01-09,0.5715,-1.57%,1.4789
SH511010,国债ETF,2015-01-09,101.2344,2015-01-23,103.1650,2.05%,1.5093
SH510300,沪深300ETF华泰柏瑞,2015-01-23,2.9431,2015-02-06,2.7232,-5.62%,1.4245
SH513500,标普500ETF博时,2015-02-06,0.5680,2015-02-27,0.5850,3.82%,1.4789
SH510880,红利ETF华泰柏瑞,2015-02-27,1.6044,2015-03-13,1.6704,3.48%,1.5303
SH510230,金融ETF,2015-03-13,0.8611,2015-03-27,0.9132,6.31%,1.6269
SZ159928,消费ETF,2015-03-27,1.3880,2015-04-13,1.5280,8.38%,1.7632
SH510050,上证50ETF,2015-04-13,2.4983,2015-04-27,2.7188,8.00%,1.9044
SZ159930,能源ETF,2015-04-27,1.5430,2015-05-12,1.3470,-3.85%,1.8311
SZ159939,信息技术ETF,2015-05-12,1.7708,2015-05-26,2.0535,14.16%,2.0903
SZ159930,能源ETF,2015-05-26,1.4760,2015-06-09,1.5860,3.73%,2.1683
SZ159930,能源ETF,2015-06-09,1.5860,2015-06-24,1.5090,-8.03%,1.9941
SH513500,标普500ETF博时,2015-06-24,0.5850,2015-07-08,0.5595,-1.97%,1.9548
SH511010,国债ETF,2015-07-08,105.2392,2015-07-22,105.7253,0.99%,1.9741
SZ159939,信息技术ETF,2015-07-22,1.4802,2015-08-05,1.2989,-9.33%,1.7899
SH513500,标普500ETF博时,2015-08-05,0.5855,2015-08-19,0.6130,5.12%,1.8816
SH513500,标普500ETF博时,2015-08-19,0.6130,2015-09-02,0.5645,-7.55%,1.7394
