标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
"SH510900,SH510230,SH510050","恒生中国企业ETF易方达,金融ETF,上证50ETF",2014-04-02,"0.8437,0.4653,1.2127",2014-05-05,"0.8226,0.4680,1.2087",0.35%,1.0035
"SH513500,SZ159920,SH510230","标普500ETF博时,恒生ETF,金融ETF",2014-05-05,"0.5205,0.9567,0.4680",2014-06-03,"0.5355,1.0175,0.4674",2.05%,1.024
"SZ159915,SH510900,SZ159920","创业板ETF易方达,恒生中国企业ETF易方达,恒生ETF",2014-06-03,"1.2870,0.8766,1.0175",2014-07-01,"1.3810,0.8904,1.0185",3.01%,1.0549
"SH518880,SH513500","黄金ETF,标普500ETF博时",2014-07-01,"2.6380,0.5465",2014-07-29,"2.5960,0.5495",-0.30%,1.0517
"SH510230,SH510410,SH510050","金融ETF,资源ETF博时,上证50ETF",2014-07-29,"0.5263,0.6050,1.3448",2014-08-26,"0.5090,0.6190,1.3179",-0.16%,1.05
"SZ159915,SZ159902,SH510500","创业板ETF易方达,中小100ETF华夏,中证500ETF",2014-08-26,"1.3770,2.3960,3.7115",2014-09-24,"1.4790,2.5530,4.0528",4.47%,1.097
"SH511010,SH518880,SZ159920","国债ETF,黄金ETF,恒生ETF",2014-09-24,"98.0845,2.4180,1.0584",2014-10-29,"100.4623,2.4280,1.0442",-0.18%,1.095
"SH511010,SH510050,SH510300","国债ETF,上证50ETF,沪深300ETF华泰柏瑞",2014-10-29,"100.4623,1.3456,2.0358",2014-11-26,"101.4833,1.5168,2.2567",7.91%,1.1816
"SH510180,SH510300,SH510880","上证180ETF,沪深300ETF华泰柏瑞,红利ETF华泰柏瑞",2014-11-26,"1.9349,2.2567,1.3126",2014-12-24,"2.3329,2.6566,1.5234",23.32%,1.4572
"SH510880,SH510180,SH511010","红利ETF华泰柏瑞,上证180ETF,国债ETF",2014-12-24,"1.5234,2.3329,101.1982",2015-01-23,"1.6185,2.5945,103.1650",4.42%,1.5216
"SZ159915,SH518880,SZ159902","创业板ETF易方达,黄金ETF,中小100ETF华夏",2015-01-23,"1.6380,2.6070,2.8260",2015-02-27,"1.8630,2.4650,3.0830",3.24%,1.5709
"SZ159915,SZ159939,SZ159902","创业板ETF易方达,信息技术ETF,中小100ETF华夏",2015-02-27,"1.8630,1.1023,3.0830",2015-03-27,"2.2280,1.3402,3.6550",20.01%,1.8852
"SZ159939,SZ159915,SZ159902","信息技术ETF,创业板ETF易方达,中小100ETF华夏",2015-03-27,"1.3402,2.2280,3.6550",2015-04-27,"1.5324,2.6500,4.1550",17.29%,2.2113
"SZ159930,SH510410,SH510170","能源ETF,资源ETF博时,大宗商品ETF",2015-04-27,"1.5430,1.0960,0.6625",2015-05-26,"1.4760,1.1070,0.6927",5.41%,2.3308
"SZ159902,SZ159939,SH510500","中小100ETF华夏,信息技术ETF,中证500ETF",2015-05-26,"5.3980,2.0535,8.8127",2015-06-24,"4.9020,1.8852,8.6407",-3.46%,2.2501
"SH510900,SZ159901,SH510300","恒生中国企业ETF易方达,深证100ETF易方达,沪深300ETF华泰柏瑞",2015-06-24,"1.1863,2.8293,4.0269",2015-07-22,"1.0415,2.4039,3.4672",-11.30%,1.9959
"SH511010,SZ159941,SZ159943","国债ETF,纳指ETF,深证成指ETF大成",2015-07-22,"105.7253,0.2505,1.1382",2015-08-19,"105.1221,0.2488,1.1101",-1.26%,1.9707
"SH510170,SH510410,SH510500","大宗商品ETF,资源ETF博时,中证500ETF",2015-08-19,"0.5612,0.8450,7.0767",2015-09-18,"0.4243,0.6480,5.1393",-24.07%,1.4963
SZ159928,消费ETF,2015-09-18,1.2500,2015-10-23,1.3400,4.75%,1.5674
"SZ159915,SZ159939,SZ159902","创业板ETF易方达,信息技术ETF,中小100ETF华夏",2015-10-23,"2.4270,1.2695,3.6560",2015-11-20,"2.6450,1.4570,4.0020",13.12%,1.773
"SZ159939,SZ159943,SZ159915","信息技术ETF,深证成指ETF大成,创业板ETF易方达",2015-11-20,"1.4570,1.1001,2.6450",2015-12-18,"1.4610,1.1152,2.6680",2.43%,1.816
"SZ159901,SZ159939,SZ159915","深证100ETF易方达,信息技术ETF,创业板ETF易方达",2015-12-18,"2.2912,1.4610,2.6680",2016-01-18,"1.8813,1.1243,2.0700",-23.33%,1.3923
"SH518880,SH513500,SZ159941","黄金ETF,标普500ETF博时,纳指ETF",2016-01-18,"2.3130,0.5815,0.2345",2016-02-22,"2.5550,0.5875,0.2285",2.93%,1.4331
"SZ159915,SZ159939,SZ159943","创业板ETF易方达,信息技术ETF,深证成指ETF大成",2016-02-22,"2.1420,1.1684,0.9071",2016-03-21,"2.1160,1.1440,0.9004",-1.64%,1.4097
"SH510230,SH510900,SH510050","金融ETF,恒生中国企业ETF易方达,上证50ETF",2016-03-21,"0.7821,0.8318,1.8309",2016-04-19,"0.7685,0.8492,1.8050",1.27%,1.4276
"SH510410,SZ159930,SH510170","资源ETF博时,能源ETF,大宗商品ETF",2016-04-19,"0.6590,0.8110,0.4193",2016-05-18,"0.6060,0.7250,0.3702",37.67%,1.9654
"SH511010,SZ159901,SH510180","国债ETF,深证100ETF易方达,上证180ETF",2016-05-18,"109.2852,1.7955,2.1644",2016-06-17,"109.5719,1.8613,2.2013",0.85%,1.9822
"SH518880,SH510170,SZ159928","黄金ETF,大宗商品ETF,消费ETF",2016-06-17,"2.7150,0.4020,1.3650",2016-07-15,"2.8750,0.4400,1.4850",7.83%,2.1374
"SH510410,SH510170,SZ159928","资源ETF博时,大宗商品ETF,消费ETF",2016-07-15,"0.7080,0.4400,1.4850",2016-08-12,"0.6800,0.4210,1.4690",-2.98%,2.0736
"SH510900,SH510880,SZ159941","恒生中国企业ETF易方达,红利ETF华泰柏瑞,纳指ETF",2016-08-12,"0.9325,1.6996,0.2632",2016-09-09,"0.9957,1.7205,0.2657",3.90%,2.1546
"SZ159920,SH510900,SH513500","恒生ETF,恒生中国企业ETF易方达,标普500ETF博时",2016-09-09,"1.2315,0.9957,0.7215",2016-10-18,"1.1944,0.9600,0.7535",-0.74%,2.1385
"SH513500,SZ159929,SH510500","标普500ETF博时,医药ETF,中证500ETF",2016-10-18,"0.7535,1.4850,5.7224",2016-11-15,"0.7495,1.4570,5.8223",0.14%,2.1415
"SH510170,SH512880,SH510410","大宗商品ETF,证券ETF,资源ETF博时",2016-11-15,"0.4575,1.1320,0.7240",2016-12-13,"0.4390,1.0530,0.6920",-6.11%,2.0106
"SH513500,SH511010,SZ159929","标普500ETF博时,国债ETF,医药ETF",2016-12-13,"0.9360,108.7592,1.4170",2017-01-11,"0.7255,109.0173,1.3990",-6.88%,1.8723
"SH512660,SZ159920,SH510900","军工ETF,恒生ETF,恒生中国企业ETF易方达",2017-01-11,"1.0360,1.1963,0.9875",2017-02-15,"1.0200,1.2448,1.0544",3.09%,1.9302
"SH510900,SH513050,SZ159941","恒生中国企业ETF易方达,中概互联网ETF易方达,纳指ETF",2017-02-15,"1.0544,1.0580,0.3162",2017-03-15,"1.0397,1.0800,0.3243",2.06%,1.9699
"SZ159939,SZ159902,SH511010","信息技术ETF,中小100ETF华夏,国债ETF",2017-03-15,"0.5590,3.2580,108.9129",2017-04-14,"0.5465,3.2530,109.2931",-0.19%,1.9661
"SH512660,SH518880,SH510170","军工ETF,黄金ETF,大宗商品ETF",2017-04-14,"1.0840,2.8590,0.4577",2017-05-15,"0.8770,2.7500,0.4120",-10.68%,1.7561
"SH513050,SZ159920,SH511010","中概互联网ETF易方达,恒生ETF,国债ETF",2017-05-15,"1.2690,1.3209,107.4144",2017-06-14,"1.2610,1.3276,108.3700",1.84%,1.7884
"SZ159928,SZ159901,SH510170","消费ETF,深证100ETF易方达,大宗商品ETF",2017-06-14,"1.7510,2.0687,0.4225",2017-07-12,"1.7560,2.1614,0.4563",57.79%,2.8221
"SH510410,SH510880,SH510230","资源ETF博时,红利ETF华泰柏瑞,金融ETF",2017-07-12,"0.7090,1.9880,0.9124",2017-08-09,"0.8600,2.0130,0.9360",7.55%,3.0351
"SH510410,SH513050,SZ159949","资源ETF博时,中概互联网ETF易方达,创业板50ETF",2017-08-09,"0.8600,1.4490,0.7010",2017-09-06,"0.8820,1.3940,0.7720",2.26%,3.1037
"SZ159930,SH512880,SH512000","能源ETF,证券ETF,券商ETF",2017-09-06,"0.9100,1.1250,1.0630",2017-10-11,"0.8850,1.1040,1.0460",-2.75%,3.0183
"SZ159928,SH513500,SZ159929","消费ETF,标普500ETF博时,医药ETF",2017-10-11,"2.1370,0.7835,1.5330",2017-11-08,"2.3840,0.7955,1.6670",8.66%,3.2798
"SZ159928,SZ159941,SH512550","消费ETF,纳指ETF,富时A50",2017-11-08,"2.3840,0.3440,1.0890",2017-12-06,"2.1580,0.3392,1.1090",-1.90%,3.2176
"SH513500,SZ159949,SH510300","标普500ETF博时,创业板50ETF,沪深300ETF华泰柏瑞",2017-12-06,"0.8070,0.6860,3.4724",2018-01-04,"0.8190,0.6820,3.5603",1.00%,3.2499
"SH510410,SH512400,SH512200","资源ETF博时,有色金属ETF,房地产ETF",2018-01-04,"0.8500,0.9515,1.0060",2018-02-01,"0.8370,0.8898,1.0830",3.09%,3.3504
"SH510900,SH510230,SZ159930","恒生中国企业ETF易方达,金融ETF,能源ETF",2018-02-01,"1.2715,1.0893,0.9180",2018-03-08,"1.1634,0.9965,0.8360",-9.25%,3.0405
"SZ159939,SH512660,SZ159949","信息技术ETF,军工ETF,创业板50ETF",2018-03-08,"0.5475,0.7970,0.6820",2018-04-09,"0.5575,0.8800,0.6980",3.71%,3.1531
"SH512660,SH511260,SH511010","军工ETF,十年国债ETF,国债ETF",2018-04-09,"0.8800,98.6098,109.8369",2018-05-09,"0.8450,99.1450,110.3443",0.51%,3.1693
"SZ159929,SH512880,SH512000","医药ETF,证券ETF,券商ETF",2018-05-09,"1.7680,0.9010,0.8530",2018-06-06,"1.8450,0.8330,0.7890",-4.50%,3.0266
"SZ159928,SZ159941,SH511260","消费ETF,纳指ETF,十年国债ETF",2018-06-06,"2.4740,0.3840,99.8298",2018-07-05,"2.1280,0.3925,100.8471",-3.37%,2.9248
"SH511260,SH511010,SZ159920","十年国债ETF,国债ETF,恒生ETF",2018-07-05,"100.8471,111.3186,1.4350",2018-08-02,"101.5358,112.1077,1.4590",1.90%,2.9804
"SH510900,SH513500,SH511010","恒生中国企业ETF易方达,标普500ETF博时,国债ETF",2018-08-02,"1.1550,0.8865,112.1077",2018-08-30,"1.1840,0.9250,111.5994",1.31%,3.0194
SH513500,标普500ETF博时,2018-08-30,0.9250,2018-09-28,0.9290,0.65%,3.0391
"SZ159928,SZ159930,SH512550","消费ETF,能源ETF,富时A50",2018-09-28,"2.1640,0.8030,1.0220",2018-11-02,"1.8250,0.7500,0.9890",-10.37%,2.7238
"SH512880,SH512000,SH512200","证券ETF,券商ETF,房地产ETF",2018-11-02,"0.7780,0.7410,0.7280",2018-11-30,"0.7690,0.7340,0.7490",1.17%,2.7558
"SZ159920,SH518880,SZ159929","恒生ETF,黄金ETF,医药ETF",2018-11-30,"1.4340,2.7320,1.3460",2018-12-28,"1.3540,2.8260,1.1880",-4.10%,2.6429
"SH518880,SH510810,SH512950","黄金ETF,上海国企ETF汇添富,央企改革ETF华夏",2018-12-28,"2.8260,0.6979,0.9223",2019-01-29,"2.8330,0.7179,0.9360",1.26%,2.6762
"SZ159928,SH512550,SH510050","消费ETF,富时A50,上证50ETF",2019-01-29,"1.9700,0.9670,2.1715",2019-03-05,"2.3540,1.1130,2.4953",17.26%,3.1382
"SH512000,SH512880,SH512980","券商ETF,证券ETF,传媒ETF",2019-03-05,"0.9950,1.0430,0.8670",2019-04-02,"1.0310,1.0810,0.9050",5.42%,3.3082
"SZ159928,SZ159929,SH512890","消费ETF,医药ETF,红利低波ETF华泰柏瑞",2019-04-02,"2.6600,1.5510,0.5960",2019-05-08,"2.6440,1.4160,0.5490",-5.34%,3.1315
"SZ159941,SZ159920,SH510900","纳指ETF,恒生ETF,恒生中国企业ETF易方达",2019-05-08,"0.4180,1.5210,1.1880",2019-06-05,"0.3940,1.4430,1.1430",-7.21%,2.9056
"SH518880,SH511010,SH510900","黄金ETF,国债ETF,恒生中国企业ETF易方达",2019-06-05,"2.9630,115.3183,1.1430",2019-07-04,"3.1190,115.8050,1.2220",4.92%,3.0485
"SH512690,SH512070,SH512660","酒ETF,证券保险ETF易方达,军工ETF",2019-07-04,"0.3968,2.3110,0.7820",2019-08-01,"0.3784,2.2580,0.7720",-1.67%,2.9976
"SH512480,SZ159939,SH510810","半导体ETF,信息技术ETF,上海国企ETF汇添富",2019-08-01,"0.5260,0.4805,0.8755",2019-08-29,"0.5650,0.5070,0.8491",1.67%,3.0477
"SH512930,SH512480,SZ159939","AI人工智能ETF,半导体ETF,信息技术ETF",2019-08-29,"0.9364,0.5650,0.5070",2019-09-27,"0.9761,0.6165,0.5385",6.35%,3.2411
"SH513520,SH511030,SZ159972","日经ETF,公司债ETF,5年地债ETF",2019-09-27,"1.0650,2.9433,92.9015",2019-11-01,"1.0920,2.9546,92.9553",1.01%,3.2739
"SH513520,SZ159941,SH513500","日经ETF,纳指ETF,标普500ETF博时",2019-11-01,"1.0920,0.4543,1.0000",2019-11-29,"1.1090,0.4885,1.0420",4.64%,3.4259
