标的,名称,开始日期,开始价格,结束日期,结束价格,本次收益,总净值
SH510500,中证500ETF,2014-03-19,3.3254,2014-03-26,3.3434,-0.18%,0.9982
SH510900,恒生中国企业ETF易方达,2014-03-26,0.8299,2014-04-02,0.8437,3.59%,1.034
SZ159920,恒生ETF,2014-04-02,0.9709,2014-04-10,0.9966,1.38%,1.0483
SH510230,金融ETF,2014-04-10,0.4947,2014-04-17,0.4755,-0.16%,1.0465
SH513500,标普500ETF博时,2014-04-17,0.5165,2014-04-24,0.5220,1.56%,1.0629
SH513500,标普500ETF博时,2014-04-24,0.5220,2014-05-05,0.5205,-0.19%,1.0608
SH511010,国债ETF,2014-05-05,96.3940,2014-05-12,96.7493,0.60%,1.0672
SZ159930,能源ETF,2014-05-12,0.8030,2014-05-19,0.7720,2.09%,1.0895
SZ159920,恒生ETF,2014-05-19,0.9871,2014-05-26,1.0014,1.93%,1.1106
SZ159915,创业板ETF易方达,2014-05-26,1.2890,2014-06-03,1.2870,1.65%,1.1289
SH510900,恒生中国企业ETF易方达,2014-06-03,0.8766,2014-06-10,0.8904,1.37%,1.1444
SZ159902,中小100ETF华夏,2014-06-10,2.1890,2014-06-17,2.2010,3.30%,1.1821
SH510230,金融ETF,2014-06-17,0.4761,2014-06-24,0.4706,-2.46%,1.153
SH518880,黄金ETF,2014-06-24,2.6370,2014-07-01,2.6380,-0.30%,1.1495
SZ159915,创业板ETF易方达,2014-07-01,1.3810,2014-07-08,1.3810,-0.58%,1.1428
SH510500,中证500ETF,2014-07-08,3.3973,2014-07-15,3.4422,1.86%,1.1641
SZ159928,消费ETF,2014-07-15,0.9420,2014-07-22,0.9600,2.59%,1.1943
SZ159928,消费ETF,2014-07-22,0.9600,2014-07-29,0.9810,3.89%,1.2408
SH510230,金融ETF,2014-07-29,0.5263,2014-08-05,0.5307,2.32%,1.2696
SZ159928,消费ETF,2014-08-05,1.0200,2014-08-12,1.0190,-0.20%,1.2671
SZ159915,创业板ETF易方达,2014-08-12,1.3640,2014-08-19,1.4040,2.20%,1.295
SZ159915,创业板ETF易方达,2014-08-19,1.4040,2014-08-26,1.3770,0.86%,1.3061
SH510900,恒生中国企业ETF易方达,2014-08-26,0.9618,2014-09-02,0.9481,-1.43%,1.2874
SH510500,中证500ETF,2014-09-02,3.8492,2014-09-10,3.9600,4.34%,1.3433
SH510500,中证500ETF,2014-09-10,3.9600,2014-09-17,3.9390,-1.21%,1.3271
SH511010,国债ETF,2014-09-17,97.6072,2014-09-24,98.0845,0.97%,1.34
SZ159929,医药ETF,2014-09-24,1.0840,2014-10-08,1.1490,2.98%,1.3798
SZ159929,医药ETF,2014-10-08,1.1490,2014-10-15,1.1900,3.34%,1.426
SZ159929,医药ETF,2014-10-15,1.1900,2014-10-22,1.1190,0.00%,1.426
SH513500,标普500ETF博时,2014-10-22,0.5390,2014-10-29,0.5465,2.93%,1.4678
SH510500,中证500ETF,2014-10-29,4.2024,2014-11-05,4.1994,1.59%,1.4911
SZ159930,能源ETF,2014-11-05,0.9000,2014-11-12,0.8980,-3.42%,1.4402
SH510230,金融ETF,2014-11-12,0.5761,2014-11-19,0.5505,-2.99%,1.3972
SZ159915,创业板ETF易方达,2014-11-19,1.4640,2014-11-26,1.5100,3.82%,1.4505
SH510230,金融ETF,2014-11-26,0.6115,2014-12-03,0.7011,19.54%,1.7339
SH510230,金融ETF,2014-12-03,0.7011,2014-12-10,0.7832,8.24%,1.8768
SH518880,黄金ETF,2014-12-10,2.4630,2014-12-17,2.4010,-0.17%,1.8737
SH510230,金融ETF,2014-12-17,0.8595,2014-12-24,0.7999,2.25%,1.9158
SH513500,标普500ETF博时,2014-12-24,0.5750,2014-12-31,0.5740,0.26%,1.9208
SH510230,金融ETF,2014-12-31,0.9356,2015-01-09,0.9074,-2.82%,1.8667
SZ159915,创业板ETF易方达,2015-01-09,1.5030,2015-01-16,1.5920,2.75%,1.918
SH510230,金融ETF,2015-01-16,0.9367,2015-01-23,0.8963,-5.51%,1.8123
SH510300,沪深300ETF华泰柏瑞,2015-01-23,2.9431,2015-01-30,2.8282,-2.23%,1.7719
SZ159939,信息技术ETF,2015-01-30,0.9992,2015-02-06,0.9943,2.16%,1.8102
SH513500,标普500ETF博时,2015-02-06,0.5680,2015-02-13,0.5785,1.33%,1.8343
SZ159939,信息技术ETF,2015-02-13,1.0574,2015-02-27,1.1023,4.09%,1.9093
SH510880,红利ETF华泰柏瑞,2015-02-27,1.6044,2015-03-06,1.5807,-1.40%,1.8826
SH511010,国债ETF,2015-03-06,103.6814,2015-03-13,103.6765,0.04%,1.8834
SH510230,金融ETF,2015-03-13,0.8611,2015-03-20,0.9297,4.95%,1.9767
SH510880,红利ETF华泰柏瑞,2015-03-20,1.8063,2015-03-27,1.8499,2.98%,2.0357
SZ159928,消费ETF,2015-03-27,1.3880,2015-04-03,1.4340,2.38%,2.0842
SZ159915,创业板ETF易方达,2015-04-03,2.3910,2015-04-13,2.4510,2.32%,2.1326
SH510500,中证500ETF,2015-04-13,7.8064,2015-04-20,6.5623,-0.76%,2.1165
SZ159930,能源ETF,2015-04-20,1.3280,2015-04-27,1.5430,5.25%,2.2276
SZ159930,能源ETF,2015-04-27,1.5430,2015-05-05,1.3870,0.93%,2.2483
SZ159920,恒生ETF,2015-05-05,1.2134,2015-05-12,1.2163,-1.45%,2.2156
SZ159939,信息技术ETF,2015-05-12,1.7708,2015-05-19,1.8591,6.16%,2.352
SZ159915,创业板ETF易方达,2015-05-19,3.1850,2015-05-26,3.4630,5.38%,2.4786
SZ159930,能源ETF,2015-05-26,1.4760,2015-06-02,1.4600,-3.60%,2.3894
SZ159915,创业板ETF易方达,2015-06-02,3.7680,2015-06-09,3.5260,-0.98%,2.3659
SZ159930,能源ETF,2015-06-09,1.5860,2015-06-16,1.5070,0.90%,2.3872
SH511010,国债ETF,2015-06-16,103.6560,2015-06-24,104.1050,0.18%,2.3916
SH513500,标普500ETF博时,2015-06-24,0.5850,2015-07-01,0.5720,-2.14%,2.3403
SH518880,黄金ETF,2015-07-01,2.3490,2015-07-08,2.2360,-1.41%,2.3074
SH511010,国债ETF,2015-07-08,105.2392,2015-07-15,104.7658,-0.20%,2.3027
SZ159929,医药ETF,2015-07-15,1.6580,2015-07-22,1.7070,-5.05%,2.1864
SZ159939,信息技术ETF,2015-07-22,1.4802,2015-07-29,1.3854,-9.33%,1.9823
SZ159941,纳指ETF,2015-07-29,0.2470,2015-08-05,0.2465,1.02%,2.0026
SH510880,红利ETF华泰柏瑞,2015-08-05,1.9807,2015-08-12,2.0493,2.59%,2.0545
SH510170,大宗商品ETF,2015-08-12,0.6045,2015-08-19,0.5612,-3.91%,1.9742
SH513500,标普500ETF博时,2015-08-19,0.6130,2015-08-26,0.5565,-9.83%,1.7802
SH511010,国债ETF,2015-08-26,105.5145,2015-09-02,106.5052,1.05%,1.7988
SH510050,上证50ETF,2015-09-02,1.8676,2015-09-11,1.8317,-0.99%,1.7811
SZ159915,创业板ETF易方达,2015-09-11,1.9220,2015-09-18,1.8250,-7.16%,1.6535
SH510900,恒生中国企业ETF易方达,2015-09-18,0.9270,2015-09-25,0.8831,-2.00%,1.6205
SH511010,国债ETF,2015-09-25,105.6882,2015-10-09,106.2588,0.24%,1.6244
SH510900,恒生中国企业ETF易方达,2015-10-09,0.9499,2015-10-16,0.9664,3.35%,1.6788
SZ159939,信息技术ETF,2015-10-16,1.2398,2015-10-23,1.2695,1.71%,1.7074
SZ159929,医药ETF,2015-10-23,1.5680,2015-10-30,1.5140,3.27%,1.7633
SZ159941,纳指ETF,2015-10-30,0.2490,2015-11-06,0.2500,-0.30%,1.758
SH510230,金融ETF,2015-11-06,0.8595,2015-11-13,0.8495,2.32%,1.7988
SH511010,国债ETF,2015-11-13,106.3997,2015-11-20,106.4194,-0.00%,1.7988
SH513500,标普500ETF博时,2015-11-20,0.6115,2015-11-27,0.6120,0.49%,1.8076
SH511010,国债ETF,2015-11-27,106.8332,2015-12-04,107.0036,0.13%,1.8099
SZ159901,深证100ETF易方达,2015-12-04,2.1848,2015-12-11,2.1638,-1.66%,1.7798
SH511010,国债ETF,2015-12-11,107.1445,2015-12-18,107.4804,0.06%,1.7809
SZ159915,创业板ETF易方达,2015-12-18,2.6680,2015-12-25,2.6200,-1.87%,1.7476
SH513500,标普500ETF博时,2015-12-25,0.6135,2016-01-04,0.6135,0.82%,1.7619
SH511010,国债ETF,2016-01-04,107.8794,2016-01-11,108.2686,0.00%,1.7619
SH518880,黄金ETF,2016-01-11,2.3470,2016-01-18,2.3130,-1.45%,1.7363
SH513500,标普500ETF博时,2016-01-18,0.5815,2016-01-25,0.5810,-0.17%,1.7334
SZ159929,医药ETF,2016-01-25,1.2980,2016-02-01,1.2280,-4.31%,1.6586
SZ159920,恒生ETF,2016-02-01,0.9443,2016-02-15,0.9034,-1.21%,1.6385
SH518880,黄金ETF,2016-02-15,2.5470,2016-02-22,2.5550,5.02%,1.7207
SH510410,资源ETF博时,2016-02-22,0.6090,2016-02-29,0.5850,-0.51%,1.7119
SH511010,国债ETF,2016-02-29,108.7345,2016-03-07,108.7602,0.07%,1.7131
SH510050,上证50ETF,2016-03-07,1.7632,2016-03-14,1.7340,-2.64%,1.6679
SZ159920,恒生ETF,2016-03-14,0.9776,2016-03-21,0.9890,2.07%,1.7024
SZ159915,创业板ETF易方达,2016-03-21,2.1160,2016-03-28,2.0730,1.11%,1.7213
SZ159928,消费ETF,2016-03-28,1.2970,2016-04-05,1.2990,1.33%,1.7442
SZ159939,信息技术ETF,2016-04-05,1.1775,2016-04-12,1.1604,2.49%,1.7876
SH518880,黄金ETF,2016-04-12,2.6070,2016-04-19,2.5880,-1.12%,1.7676
SH513500,标普500ETF博时,2016-04-19,0.6195,2016-04-26,0.6240,0.81%,1.782
